ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,RoboTwin 2.0 usage,Evaluation protocol,Demos per task,Reported benchmark numbers,RoboTwin2 Easy reported success rate,RoboTwin2 Hard reported success rate,RoboTwin2 Easy/Clean (50-clean train) previous SOTA success rate,RoboTwin2 Easy/Clean (50-clean train) previous SOTA name,RoboTwin2 Hard/Randomized (50-clean train) previous SOTA success rate,RoboTwin2 Hard/Randomized (50-clean train) previous SOTA name,RoboTwin2 Easy/Clean (50-clean+500-rand train) previous SOTA success rate,RoboTwin2 Easy/Clean (50-clean+500-rand train) previous SOTA name,RoboTwin2 Hard/Randomized (50-clean+500-rand train) previous SOTA success rate,RoboTwin2 Hard/Randomized (50-clean+500-rand train) previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
11,Act2Goal: From World Model To General Goal-conditioned Policy,2025,arXiv.org,n/a,n/a,n/a,2512.23541,2025-12-29,source metadata publication date for arXiv 2512.23541,10.48550/arXiv.2512.23541,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/a8cd4764e2b41915c95476ac3f2d711c7c15cfca; Semantic Scholar: a8cd4764e2b41915c95476ac3f2d711c7c15cfca; S2 citation contexts available,reports-results,robotwin2-easy; robotwin2-hard,not reported,"Table I reports success rates as fractions on four RoboTwin 2.0 tasks. Act2Goal reports Easy task rates 0.62, 0.80, 0.64, 0.52 for Move Can, Pick Bottles, Place Cup, and Place Shoe; Hard rates are 0.13, 0.43, 0.13, 0.15. Baselines include DP-GC, pi0.5-GC, and HyperGoalNet. Units are fraction success rates in the table, equivalent to 0-100% if converted.",,,,,,,,,,,"subagent result audit usage_numbers_batch_01.json: Cached arXiv HTML text 2512.23541. Table I is titled comparison on Robotwin 2.0 Simulation Benchmark and separates Easy and Hard rows. Section IV-A says the benchmark has seen Easy scenarios and unseen Hard scenarios, but no aggregate average is reported.",medium,not-found,,"subagent checkpoint audit weights_batch_01.json: The Act2Goal paper and official project pages expose results and descriptions but no code repository, Hugging Face or ModelScope model page, release artifact, or checkpoint download. Targeted searches for Act2Goal and Finch also did not surface public weights tied to the RoboTwin result.",medium,"subagent result audit usage_numbers_batch_01.json: Cached arXiv HTML text 2512.23541. Table I is titled comparison on Robotwin 2.0 Simulation Benchmark and separates Easy and Hard rows. Section IV-A says the benchmark has seen Easy scenarios and unseen Hard scenarios, but no aggregate average is reported.",medium,otherwise,Reports Easy and Hard success rates only on four selected RoboTwin 2.0 tasks and no comparable standard aggregate.
12,Action Draft and Verify: A Self-Verifying Framework for Vision-Language-Action Model,2026,preprint/unknown,n/a,n/a,n/a,2603.18091,2026-03-18,source metadata publication date for arXiv 2603.18091,10.48550/arXiv.2603.18091,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/cfc9929866d0da75d40368a628423e227939b343; Semantic Scholar: cfc9929866d0da75d40368a628423e227939b343,reports-results,robotwin2-easy; robotwin2-hard,"2,500 total RoboTwin2.0 episodes over 50 tasks; the text says training follows the official Easy-only setting.","Main Table 2 reports Qwen2.5-VL-ADV on RoboTwin 2.0 with average success rates of 39.3% Easy and 10.2% Hard, versus Qwen2.5-VL-Diffusion at 30.1% Easy and 6.7% Hard. Per-task examples include Adjust Bottle 97.0/26.0, Open Laptop 55.0/27.0, and Block Rank RGB 52.0/24.0 for Qwen2.5-VL-ADV. Units are percent success rate.",39.3,10.2,46.4,Pi0,16.3,Pi0,,,,,"subagent result audit usage_numbers_batch_01.json: Cached arXiv HTML text 2603.18091. Table 2 has a RoboTwin 2.0 section with Easy|Hard task columns and Avg. Section 4.1 says RoboTwin2.0 uses the official Easy-only training setting; Table 11 lists 2,500 total RoboTwin2.0 episodes and 50 tasks.",high,not-found,,"subagent checkpoint audit weights_batch_01.json: The ADV paper discusses evaluating with the same internal checkpoint but does not provide a project, GitHub, Hugging Face, ModelScope, release, or checkpoint link. Targeted searches for Action Draft and Verify / ADV did not find public weights tied to the RoboTwin 2.0 row.",medium,"subagent result audit usage_numbers_batch_01.json: Cached arXiv HTML text 2603.18091. Table 2 has a RoboTwin 2.0 section with Easy|Hard task columns and Avg. Section 4.1 says RoboTwin2.0 uses the official Easy-only training setting; Table 11 lists 2,500 total RoboTwin2.0 episodes and 50 tasks.",high,official-ish,Reports RoboTwin 2.0 Easy and Hard average success rates over 50 tasks and states it follows the official Easy-only training setting.
13,Action-Sketcher: From Reasoning to Action via Visual Sketches for Long-Horizon Robotic Manipulation,2026,arXiv.org,n/a,n/a,n/a,2601.01618,2026-01-04,source metadata publication date for arXiv 2601.01618,10.48550/arXiv.2601.01618,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/ce9ba7954c4604a4ec6aa213b2bab4fee2df1614; Semantic Scholar: ce9ba7954c4604a4ec6aa213b2bab4fee2df1614; S2 citation contexts available,reports-results,robotwin2,"not reported per task; the paper reports about 6.1k episodes and 2.8M action prediction samples across a mixed LIBERO, RoboTwin 2.0, and real-world corpus.","Appendix Table 7 reports RoboTwin 2.0 custom simulation-task success rates. Sub-Task (Ours) reports 34.5, 25.0, 28.0, 43.0, 28.0, average 31.7%. Task-Level reports 9.5, 20.0, 15.0, 35.5, 21.0, average 20.2%. Table 8 reports Automated average 24.1% and Human average 31.7%. Units are percent success rate.",,,,,,,,,,,"subagent result audit usage_numbers_batch_01.json: Cached arXiv HTML text 2601.01618. Appendix C.3 says five RoboTwin 2.0 tasks are selected and modified with clutter, camera height changes, and longer episodes. Appendix D.2/Table 7 and D.3/Table 8 report success-rate percentages on those custom tasks.",medium,weight-but-not-for-number,,"subagent checkpoint audit weights_batch_01.json: The official Action-Sketcher project and GitHub release code and link a checkpoint zoo, but the public HF weights are for PI0-LIBERO / LIBERO stage models. The HF API lists model.safetensors for petersonco/action_sketcher-pi0-libero, and I found no public RoboTwin 2.0 checkpoint corresponding to the reported Action-Sketcher row.",high,"subagent result audit usage_numbers_batch_01.json: Cached arXiv HTML text 2601.01618. Appendix C.3 says five RoboTwin 2.0 tasks are selected and modified with clutter, camera height changes, and longer episodes. Appendix D.2/Table 7 and D.3/Table 8 report success-rate percentages on those custom tasks.",medium,otherwise,"Reports success rates on five selected RoboTwin 2.0 tasks modified with clutter, camera-height changes, and longer episodes, so the result is custom rather than standard."
14,ActionParty: Multi-Subject Action Binding in Generative Video Games,2026,preprint/unknown,n/a,n/a,n/a,2604.02330,2026-04-02,source metadata publication date for arXiv 2604.02330,10.48550/arXiv.2604.02330,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/1c35fc96f3107c85919e7988583fede0d1c51587; Semantic Scholar: 1c35fc96f3107c85919e7988583fede0d1c51587,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2604.02330; snippet: output view [ genie3 ] . They accept as input a single stream of control signals and can only control a single subject in the scene. Consequently, these generated “worlds” are unable to simulate the multi-agent dynamics that define complex social environments such as in self-driving [ GAIA-1 , TrafficSim ] and robotics [ VMAS , RoboTwin2 ] applications. In this work, we aim to explore multi-subject control in video world models. Since video diffusion models can act as world models, a natural adaptation of existing control mechanisms is to use textual instructions describing the actions of all actors as input to the model. However, this...",medium,,
15,Ada3Drift: Adaptive Training-Time Drifting for One-Step 3D Visuomotor Robotic Manipulation,2026,ArXiv.org,n/a,n/a,n/a,2603.11984,2026-03-12,source metadata publication date for arXiv 2603.11984,10.48550/arXiv.2603.11984,OpenAlex term search: RoboTwin 2,term match: RoboTwin 2,term-only,"https://openalex.org/W7135428759; OpenAlex: W7135428759; Subagent term-status evidence: Cached arXiv source/text mentions experiments on RoboTwin and cites mu2025robotwin, whose bib entry is 'Robotwin: Dual-arm robot benchmark with generative digital twins'; there is no RoboTwin 2.0 / 2506.18088 citation.",term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Term-search row retained for audit; no countable RoboTwin 2.0 citation edge or formal citation was confirmed.,n/a,,
16,Advances and Innovations in the Multi-Agent Robotic System (MARS) Challenge,2026,arXiv.org,n/a,n/a,n/a,2601.18733,2026-01-26,source metadata publication date for arXiv 2601.18733,10.48550/arXiv.2601.18733,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/d2ee5b677819f38badfcb38422774c4ccb86f181; Semantic Scholar: d2ee5b677819f38badfcb38422774c4ccb86f181; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2601.18733; snippet: tion hinges on large, diverse, and high-fidelity datasets that faithfully capture real-world appearance, sensing, and physics. Beyond predominantly single-agent paradigms, recent efforts have begun to investigate multi-agent robotic manipulation. Systems such as RoboBallet Lai et al. ( 2025 ) , RoboFactory Qin et al. ( 2025 ) , RoboTwin Chen et al. ( 2025 ) , and RoboOS Tan et al. ( 2025 ) explore scalable infrastructures for data collection and policy learning in multi-arm settings, emphasizing coordination, synchronization, and collaborative execution. Notably, RoboBallet Lai et al. ( 2025 ) proposes a graph neural network–based...",medium,,
17,AIM: Intent-Aware Unified world action Modeling with Spatial Value Maps,2026,preprint/unknown,n/a,n/a,n/a,2604.11135,2026-04-13,source metadata publication date for arXiv 2604.11135,10.48550/arXiv.2604.11135,OpenAlex term search: 2506.18088; OpenAlex term search: RoboTwin 2; OpenAlex term search: RoboTwin 2.0; OpenAlex term search: RoboTwin 2.0 Easy; OpenAlex term search: RoboTwin 2.0 Hard; OpenAlex term search: RoboTwin 2.0 Randomized; OpenAlex term search: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation; OpenAlex term search: RoboTwin-2.0; OpenAlex term search: Robotwin 2.0; Semantic Scholar citation graph; arXiv term search: RoboTwin 2.0; arXiv term search: RoboTwin-2.0; arXiv term search: Robotwin 2.0,RoboTwin 2.0 arXiv 2506.18088; term match: 2506.18088; term match: RoboTwin 2; term match: RoboTwin 2.0; term match: RoboTwin 2.0 Easy; term match: RoboTwin 2.0 Hard; term match: RoboTwin 2.0 Randomized; term match: RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation; term match: RoboTwin-2.0; term match: Robotwin 2.0,indexed-citation,https://www.semanticscholar.org/paper/b182256c10e48a15839de5e322a3eac58492afb4; Semantic Scholar: b182256c10e48a15839de5e322a3eac58492afb4; OpenAlex: W7154540647; S2 citation contexts available,reports-results,robotwin2-easy; robotwin2-hard,not reported per task; paper states the same 30K RoboTwin simulation dataset for all models.,"Table 2 reports RoboTwin 2.0 average success rate under Easy and Hard settings. AIM (Ours) reports 94.0% Easy, 92.1% Hard, and 93.1% average. Stage1 reports 93.0/92.0; LingBot-VA reports 92.9/91.6; Fast-WAM reports 91.9/91.8. Units are percent success rate.",94,92.1,,,,,92.9,LingBot-VA,91.8,Fast-WAM,"subagent result audit usage_numbers_batch_01.json: Cached arXiv HTML text 2604.11135. Table 2 is RoboTwin 2.0 average success rate under Easy and Hard settings. The experiments section states 50 RoboTwin simulation tasks, Easy and Hard settings, identical task definitions and success criteria, and 30K RoboTwin simulation dataset.",high,number-associated weight available,https://huggingface.co/AUTMOEN999/AIM/blob/main/uni-checkpoints/checkpoint_step_4500/transformer/diffusion_pytorch_model.safetensors,"subagent checkpoint audit weights_batch_01.json: The AIM Hugging Face model card is tagged with arXiv 2604.11135 and describes a public checkpoint mirror for AIM, with files under uni-checkpoints/checkpoint_step_4500. The HF API lists the transformer safetensors, mask head safetensors, and training state files. The AIM paper reports the RoboTwin 2.0 result tracked for this row.",medium,"subagent result audit usage_numbers_batch_01.json: Cached arXiv HTML text 2604.11135. Table 2 is RoboTwin 2.0 average success rate under Easy and Hard settings. The experiments section states 50 RoboTwin simulation tasks, Easy and Hard settings, identical task definitions and success criteria, and 30K RoboTwin simulation dataset.",high,official-ish,Reports RoboTwin 2.0 Easy and Hard average success rates over 50 tasks with identical task definitions and success criteria.
18,An Anatomy of Vision-Language-Action Models: From Modules to Milestones and Challenges,2025,arXiv.org,n/a,n/a,n/a,2512.11362,2025-12-12,source metadata publication date for arXiv 2512.11362,10.48550/arXiv.2512.11362,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/241d6767eb483038411a1220c3451b54b906a6d3; Semantic Scholar: 241d6767eb483038411a1220c3451b54b906a6d3; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2512.11362; snippet: valuates multimodal large language models such as GPT-4o across high-level semantic planning and low-level physical control to diagnose their end-to-end embodied competence. EWMBench [ ewmbench ] measures the physical realism of generative world models by assessing the motion and semantic consistency of their predicted futures. RoboTwin [ robotwin ] targets cross-robot generalization and evaluates policies on dual-arm collaborative tasks, emphasizing their ability to transfer from large-scale synthetic data. TABLE S1: An overview of representative embodied datasets . We exhibit different facets of these datasets, including embodiment,...",medium,,
19,AnchorDP3: 3D Affordance Guided Sparse Diffusion Policy for Robotic Manipulation,2025,arXiv.org,n/a,n/a,n/a,2506.19269,2025-06-23,source metadata publication date for arXiv 2506.19269,10.48550/arXiv.2506.19269,Semantic Scholar citation graph; Semantic Scholar term search: RoboTwin 2,RoboTwin 2.0 arXiv 2506.18088; term match: RoboTwin 2,indexed-citation,https://www.semanticscholar.org/paper/88bb52ab80b2f1866c62f67d4b5f87b258352ca3; Semantic Scholar: 88bb52ab80b2f1866c62f67d4b5f87b258352ca3; S2 citation contexts available,reports-results,robotwin2-randomized/challenge,not reported; paper emphasizes procedurally generated simulation data and eliminating human demonstrations.,"The paper reports AnchorDP3 achieves a 98.7% average success rate in the RoboTwin benchmark under extreme randomization of objects, clutter, table height, lighting, and backgrounds. The paper does not provide a separate Easy/Hard or Clean/Randomized aggregate split. Units are percent success rate.",,,,,,,,,,,"2026-05-11 success-rate audit: cached arXiv HTML text 2506.19269 reports the 98.7% average success rate under extreme randomization in the abstract/introduction, but does not provide standard Easy/Hard aggregate values.",medium,not-found,,subagent checkpoint audit weights_batch_01.json: The AnchorDP3 arXiv record and RoboTwin challenge/platform page did not expose an AnchorDP3 checkpoint or team artifact. Targeted GitHub/Hugging Face searches for AnchorDP3 and JD-TFS did not find public weights tied to the reported RoboTwin result.,medium,"2026-05-11 success-rate audit: cached arXiv HTML text 2506.19269 reports the 98.7% average success rate under extreme randomization in the abstract/introduction, but does not provide standard Easy/Hard aggregate values.",medium,otherwise,"Reports a RoboTwin Challenge/extreme-randomization average without a standard Easy/Clean or Hard/Randomized aggregate or shared demo regime, so it is not comparable to the standard protocol."
20,AnyPos: Automated Task-Agnostic Actions for Bimanual Manipulation,2025,arXiv.org,n/a,n/a,n/a,2507.12768,2025-07-17,source metadata publication date for arXiv 2507.12768,10.48550/arXiv.2507.12768,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/9e28f11c8e673755eeb4eea5403c72067085fcd5; Semantic Scholar: 9e28f11c8e673755eeb4eea5403c72067085fcd5; S2 citation contexts available,reports-results,robotwin2-hard,20 trajectories per task from the RoboTwin 2.0 clean environment across 50 tasks.,Table 2 reports RoboTwin SR and Test Acc for decoders. Direction Aware Decoder (AnyPos) reports 70.72% RoboTwin SR and 57.13% Test Acc; DiffusionDecoder reports 58.78% SR; GPTDecoder reports 48.67% SR. The RoboTwin SR is evaluated on the randomized environment. Units for RoboTwin SR are percent success rate.,,70.72,,,,,,,,,"subagent result audit usage_numbers_batch_01.json: Cached arXiv HTML text 2507.12768. Table 2 defines SR as success rate and lists RoboTwin SR. The paragraph below says the new training set is from RoboTwin 2.0 clean environment, 50 tasks with 20 trajectories per task, and the test set is from the randomized environment.",high,number-associated weight available,https://huggingface.co/embodiedfoundation/AnyPos/blob/main/anypos_model.pt,"subagent checkpoint audit weights_batch_01.json: The official AnyPos project and GitHub repository link the HF model embodiedfoundation/AnyPos. The GitHub README says the trained AnyPos model is available there with type direction-aware_with_split, and the HF API lists anypos_model.pt. The tracked row is the Direction Aware Decoder AnyPos result, including the same test accuracy reported by the official sources.",medium,"subagent result audit usage_numbers_batch_01.json: Cached arXiv HTML text 2507.12768. Table 2 defines SR as success rate and lists RoboTwin SR. The paragraph below says the new training set is from RoboTwin 2.0 clean environment, 50 tasks with 20 trajectories per task, and the test set is from the randomized environment.",high,otherwise,"2026-05-23 xhigh protocol recheck: AnyPos reports RoboTwin 2.0 randomized-environment success with 20 clean trajectories per task and decoder-ablation setup, not the standard 50-demo Easy/Clean or Hard/Randomized full-suite protocol."
21,AnySlot: Goal-Conditioned Vision-Language-Action Policies for Zero-Shot Slot-Level Placement,2026,preprint/unknown,n/a,n/a,n/a,2604.10432,2026-04-12,source metadata publication date for arXiv 2604.10432,10.48550/arXiv.2604.10432,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/a3ab544fbbfa38648790cf4a967975bb162cf8a8; Semantic Scholar: a3ab544fbbfa38648790cf4a967975bb162cf8a8; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2604.10432; snippet: oning. Figure 3 : SlotBench. A slot-level benchmark with nine challenges for spatial reasoning and language grounding in manipulation. 5 SlotBench: A Slot-Level Placement Benchmark Overview. To evaluate structured slot-level reasoning for robotic placement, we introduce SlotBench , a simulation benchmark built in SAPIEN [ mu2024robotwin , Xiang_2020_SAPIEN , chen2025robotwin ] . SlotBench comprises nine task categories that test distinct forms of structured spatial reasoning for slot-level placement. Figure 3 provides a visualization of SlotBench. Unlike existing manipulation benchmarks that evaluate object-level goal completion, SlotBench...",medium,,
22,AnyTask: an Automated Task and Data Generation Framework for Advancing Sim-to-Real Policy Learning,2025,arXiv.org,n/a,n/a,n/a,2512.17853,2025-12-19,source metadata publication date for arXiv 2512.17853,10.48550/arXiv.2512.17853,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/1a970e5f657f39b9ea1a1c5188866129ad82e380; Semantic Scholar: 1a970e5f657f39b9ea1a1c5188866129ad82e380; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"cached arXiv HTML text for 2512.17853; snippet: eration Domain Randomization Massively Parallel GPU Simulation Long Horizon ZeroShot Perceptual Sim-to-real Transfer Rendering RoboGen [ 41 ] ✓ RL, TAMP, H ✓ ✗ ✓ ✓ ✗ ✗ ✗ ✗ R Gen2Sim [ 42 ] ✓ RL ✓ ✗ ✓ ✓ ✗ ✗ ✗ ✗ R GenSim [ 40 ] ✓ TAMP ✗ ✗ ✓ ✓ ✗ ✗ ✓ ✗ R GenSim2 [ 38 ] ✓ ✗ ✗ ✗ ✓ ✓ ✗ ✗ ✗ ✓ R ScalingUp [ 43 ] ✓ TAMP ✗ ✗ ✓ ✓ ✗ ✗ ✓ ✓ R RoboTwin [ 30 , 31 ] ✗ TAMP ✓ ✗ ✓ ✓ ✗ ✗ ✗ ✓ R Meta-world [ 29 ] ✗ RL ✗ ✗ ✗ ✓ ✗ ✗ ✗ ✗ R Robocasa [ 44 ] ✓ ✗ ✓ ✗ ✓ ✓ ✗ ✗ ✓ ✗ R ARNOLD [ 27 ] ✗ TAMP ✗ ✗ ✗ ✓ ✗ ✗ ✗ ✓ RT Maniskill [ 32 , 45 ] ✗ RL, TAMP ✗ ✗ ✗ ✗ ✗ ✓ ✗ ✓ RT LIBERO [ 28 ] ✗ ✗ ✗ ✗ ✗ ✓ ✗ ✗ ✗ ✗ R Behavior1K [ 33 ] ✗ ✗ ✗ ✗ ✗ ✗ ✗ ✓ ✓ ✗ RT AnyTask (ours) ✓ RL,...",medium,,
23,AssemLM: Spatial Reasoning Multimodal Large Language Models for Robotic Assembly,2026,preprint/unknown,n/a,n/a,n/a,2604.08983,2026-04-10,source metadata publication date for arXiv 2604.08983,10.48550/arXiv.2604.08983,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/bb5de42a2cd81ae46ce30852a9a995065e0fabfa; Semantic Scholar: bb5de42a2cd81ae46ce30852a9a995065e0fabfa; S2 citation contexts available,citation-only,n/a,n/a,n/a,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Citation graph edge exists, but automated abstract/arXiv full-text audit found no RoboTwin benchmark-result context; cached arXiv HTML text for 2604.08983.",low,,
24,AVR: Active Vision-Driven Precise Robot Manipulation with Viewpoint and Focal Length Optimization,2025,preprint/unknown,n/a,n/a,n/a,2503.01439,2025-03-03,source metadata publication date for arXiv 2503.01439,10.48550/arXiv.2503.01439,Semantic Scholar citation graph; Semantic Scholar term search: RoboTwin 2,RoboTwin 2.0 arXiv 2506.18088; term match: RoboTwin 2,indexed-citation,https://www.semanticscholar.org/paper/41078c4c68bc738170f280424a6c538f80665af5; Semantic Scholar: 41078c4c68bc738170f280424a6c538f80665af5; S2 citation contexts available,reports-results,custom-robotwin2-avr-plugin-simulation,50 expert demonstrations per task,RoboTwin-based simulation evaluation: AVR Plugin augments RoboTwin demonstrations and yields 5%-17% task-success gains over the static-view baseline across diverse manipulation tasks.,,,,,,,,,,,"2026-05-11 second-pass full-text audit: Section IV-A says the AVR Plugin extends RoboTwin, uses 50 expert demonstrations per task, and Figure 4/abstract report 5%-17% task-success gains.",high,not-found,,2026-05-11 second-pass project-page scan found no official checkpoint/model download for the RoboTwin simulation numbers.,medium,2026-05-11 second-pass full-text audit: Section IV-A is explicitly a RoboTwin-based simulation evaluation using an AVR Plugin and reports task-success gains.,high,otherwise,"Reports a custom AVR Plugin simulation built on RoboTwin demonstrations with relative task-success gains, not a standard RoboTwin 2.0 benchmark success-rate result."
25,BagelVLA: Enhancing Long-Horizon Manipulation via Interleaved Vision-Language-Action Generation,2026,arXiv.org,n/a,n/a,n/a,2602.09849,2026-02-10,source metadata publication date for arXiv 2602.09849,10.48550/arXiv.2602.09849,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/8ea0bef0edddfcec272b3200c8ccc8775fdb1744; Semantic Scholar: 8ea0bef0edddfcec272b3200c8ccc8775fdb1744; S2 citation contexts available,reports-results,robotwin2-easy; robotwin2-hard,50 clean demonstrations per task.,Table 1 and detailed Table 7 report Robotwin2.0 Clean and Randomized success rates. BagelVLA reports 75.26% Clean and 20.87% Randomized. The detailed Table 7 averages match 75.26/20.87; w/o Textual-planning reports 54.00/19.20 and w/o Keyframe-forecasting reports 56.72/15.92. Units are percent success rate.,75.26,20.87,52.92,UP-VLA,16.34,pi0,,,,,subagent result audit usage_numbers_batch_01.json: Cached arXiv PDF text 2602.09849. Section 4.1 says Robotwin uses 50 clean demonstrations for each of 50 tasks and tests in Clean and Randomized settings with unseen instructions. Table 1 and Table 7 report the aggregate and detailed success rates.,high,weight-but-not-for-number,,"subagent checkpoint audit weights_batch_01.json: The official BagelVLA project page only says code is coming soon and provides no public checkpoint link. Hugging Face search found unlinked BagelVLA-named repositories such as CUHKWilliam/bagel_vla_phase-0_251218 and CUHKWilliam/bagel_vla_libero-goal_from_scratch with safetensors, but these appear to be phase-0 or LIBERO artifacts and are not tied by an official source to the tracked RoboTwin result.",low,subagent result audit usage_numbers_batch_01.json: Cached arXiv PDF text 2602.09849. Section 4.1 says Robotwin uses 50 clean demonstrations for each of 50 tasks and tests in Clean and Randomized settings with unseen instructions. Table 1 and Table 7 report the aggregate and detailed success rates.,high,official-ish,Reports standard RoboTwin 2.0 Clean/Easy and Randomized/Hard success rates over the 50-task benchmark using 50 clean demos per task.
26,Being-H0.7: A Latent World-Action Model from Egocentric Videos,2026,preprint/unknown,n/a,n/a,n/a,2605.00078,2026-04-30,source metadata publication date for arXiv 2605.00078,10.48550/arXiv.2605.00078,Semantic Scholar citation graph,RoboTwin 2.0 arXiv 2506.18088,indexed-citation,https://www.semanticscholar.org/paper/da48590e0c67de7450fda928052386e6baf9a4d1; Semantic Scholar: da48590e0c67de7450fda928052386e6baf9a4d1; S2 citation contexts available,reports-results,robotwin2-easy; robotwin2-hard,"50 clean demonstrations per task plus 500 randomized demonstrations per task (2,500 clean and 25,000 randomized demonstrations over 50 tasks).","Table 1 reports Robotwin2 results as Clean/Hard paired values. Being-H0.7 reports 90.2/89.6. The results text states 89.6% under severe visual domain randomization with only a 0.6-point drop from the clean setting, 90.2%. Units are percent success rate.",90.2,89.6,,,,,92.9,LingBot-VA,91.8,Fast-WAM,"subagent result audit usage_numbers_batch_01.json: Cached arXiv HTML text 2605.00078. Table 1 benchmark comparison lists Being-H0.7 Robotwin2 as 90.2/89.6. The experimental setup states training on 2,500 clean and 25,000 randomized demonstrations, evaluating Easy clean and Hard domain-randomized scenes with 100 rollouts per task.",high,coming-soon-no-download-link,,subagent checkpoint audit weights_batch_01.json: The official Being-H0.7 project links the Being-H GitHub repository. Its README news entry for the paper states that code and checkpoints are coming soon. I did not find an existing Hugging Face or release checkpoint for Being-H0.7 tied to the RoboTwin 2.0 result.,high,"subagent result audit usage_numbers_batch_01.json: Cached arXiv HTML text 2605.00078. Table 1 benchmark comparison lists Being-H0.7 Robotwin2 as 90.2/89.6. The experimental setup states training on 2,500 clean and 25,000 randomized demonstrations, evaluating Easy clean and Hard domain-randomized scenes with 100 rollouts per task.",high,official-ish,Reports standard RoboTwin 2.0 Easy/Clean and Hard/Randomized success rates over 50 tasks under the benchmark setup with clean plus randomized demos.
27,Benchmarking Generalizable Bimanual Manipulation: RoboTwin Dual-Arm Collaboration Challenge at CVPR 2025 MEIS Workshop,2025,arXiv.org,CVPR 2025 MEIS Workshop technical report,title/official RoboTwin site,medium,2506.23351,2025-06-29,source metadata publication date for arXiv 2506.23351,10.48550/arXiv.2506.23351,Semantic Scholar citation graph; Semantic Scholar term search: RoboTwin 2; Semantic Scholar term search: RoboTwin 2.0 Randomized,RoboTwin 2.0 arXiv 2506.18088; term match: RoboTwin 2; term match: RoboTwin 2.0 Randomized,indexed-citation,https://www.semanticscholar.org/paper/ef19d2bbbbb1ea4eeebba4396cca45e41d782e67; Semantic Scholar: ef19d2bbbbb1ea4eeebba4396cca45e41d782e67; S2 citation contexts available,reports-results,robotwin2-challenge-round-2,not reported,"Round 2 of the RoboTwin Dual-Arm Collaboration Challenge adopted the enhanced RoboTwin 2.0 benchmark. Table 2 reports task scores, including average/max scores such as 42.4/100, 45.0/98, and 51.8/100.",,,,,,,,,,,2026-05-11 subagent result audit: cached full text 2506.23351.txt states Round 2 adopted enhanced RoboTwin 2.0 and Table 2 gives task scores.,medium,unclear,,2026-05-11 result reclassification pass did not separately audit reported-number checkpoint availability.,low,2026-05-11 subagent result audit: cached full text 2506.23351.txt states Round 2 adopted enhanced RoboTwin 2.0 and Table 2 gives task scores.,high,otherwise,"2026-05-23 xhigh protocol recheck: reports CVPR 2025 RoboTwin Dual-Arm Collaboration Challenge Round 2 scores on six tasks, not standard RoboTwin 2.0 Easy/Clean or Hard/Randomized 50-task success-rate aggregates."
