ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,SimplerEnv usage,Evaluation protocol,Demos per task,Reported benchmark numbers,Google Robot / Fractal VM,Google Robot / Fractal VA,WidowX / Bridge,Google Robot / Fractal VM previous SOTA success rate,Google Robot / Fractal VM previous SOTA name,Google Robot / Fractal VA previous SOTA success rate,Google Robot / Fractal VA previous SOTA name,WidowX / Bridge previous SOTA success rate,WidowX / Bridge previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
289,villa-X: Enhancing Latent Action Modeling in Vision-Language-Action Models,2025,arXiv.org,n/a,n/a,n/a,2507.23682,2025-07-31,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2507.23682,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/0b58f071387f9f67df640ec852d1a55b8798537c; https://arxiv.org/abs/2507.23682; DOI 10.48550/arXiv.2507.23682,reports-results,google-fractal-vm; widowx-bridge,not reported,"Table 2 reports villa-X/Ours SIMPLER success rates: Google Robot Pick 98.7, Move 75.0, Drawer 59.3, Avg 77.7; WidowX Carrot 46.3, Eggplant 64.6, Spoon 77.9, Cube 61.3, Avg 62.5. Table 1 also reports a visual-matching ablation with Ours Avg 58.5 on Google Robot and 40.8 on WidowX.",77.7,,62.5,63.0,OpenVLA-OFT,,,62.0,GR00T-N1.5,"Local full text /tmp/simplerenv_audit/s2_texts/0b58f071387f9f67df640ec852d1a55b8798537c.txt, Table 2 lines 400-425; Table 1 lines 295-323 states visual matching ablation.",high,weight-but-not-for-number,,"The tracked SimplerEnv numbers are for the full villa-X actor/policy on Google Robot and WidowX. The official repository's release plan marks the Latent Action Model as released but the Actor Model as not released, and the public Hugging Face repository contains only lam/model.safetensors plus LAM config files. Those LAM weights are related pretraining/latent-action artifacts, not the ACT/robot-action policy checkpoint that produced the tracked SimplerEnv success rates.",high,Section 4.4 and Table 2 compare villa-X on SIMPLER; Table 1 explicitly says SIMPLER visual matching on Google Robot and WidowX.,high,official-ish,Reports SimplerEnv success-rate averages for the standard Google Robot/Fractal VM and WidowX/Bridge task suites.
290,ViPRA: Video Prediction for Robot Actions,2025,arXiv.org,International Conference on Learning Representations (ICLR 2026),Local full text first page states published as a conference paper at ICLR 2026.,high,2511.07732,2025-11-11,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2511.07732,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/ac1f74664ccc884c8116a73639dfba9cbeb34463; https://arxiv.org/abs/2511.07732; DOI 10.48550/arXiv.2511.07732,reports-results,widowx-bridge,100 diverse multi-task trajectories total; per-task count not reported,Table 1 reports SIMPLER Bridge/WidowX success rates; ViPRA-FM AVG success rate is 62.5 and ViPRA-AR AVG is 69.8. Sortable WidowX / Bridge keeps the continuous ViPRA-FM average already tracked: 62.5.,,,62.5,,,,,42.7,UniVLA,"Local full text /tmp/simplerenv_audit/s2_texts/ac1f74664ccc884c8116a73639dfba9cbeb34463.txt, lines 399-404 for protocol/data and lines 428-442 for Table 1.",high,weight-but-not-for-number,,"The tracked number is the SimplerEnv-WidowX/Bridge ViPRA result after downstream robot-policy finetuning with limited action-labeled trajectories. The official repository and Hugging Face organization release vipra-7b-pretrained, cotrain-dynamics14, and a VQGAN vision cache, and the README instructs users to finetune task-specific policies after downloading the pretrained checkpoint. I found no public ViPRA-FM or ViPRA-AR Bridge/SimplerEnv finetuned checkpoint tied to the reported 62.5/69.8 table values.",high,Section 5.1 says ViPRA is benchmarked in SIMPLER on four Bridge tasks with a 7-DoF WidowX arm; Table 1 reports success rates.,high,official-ish,Reports standard SimplerEnv WidowX/Bridge task success rates with an average for ViPRA.
291,Vision-Language-Action Models for Robotics: A Review Towards Real-World Applications,2025,IEEE Access,IEEE Access,Crossref DOI 10.1109/ACCESS.2025.3609980 lists IEEE Access.,high,2510.07077,2025-10-08,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.1109/ACCESS.2025.3609980,Semantic Scholar citation graph; OpenAlex term search: SIMPLER Google Robot Bridge; OpenAlex term search: SIMPLER WidowX,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/58b30fe15c8fe3603f3f032ed28de6df606aabe8; https://arxiv.org/abs/2510.07077; DOI 10.1109/ACCESS.2025.3609980; https://openalex.org/W4414198610,uses-data-no-results,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Local full text lists SIMPLER in a benchmark table and describes it as enabling evaluation of policies trained on real-world data in simulation, but reports no original SIMPLER numeric results.",high,,
292,VLA-Arena: An Open-Source Framework for Benchmarking Vision-Language-Action Models,2025,arXiv.org,n/a,n/a,n/a,2512.22539,2025-12-27,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2512.22539,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/7988ea35a13c6b9f7e49f6122a80e162ea350e79; https://arxiv.org/abs/2512.22539; DOI 10.48550/arXiv.2512.22539,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
293,VLA-Cache: Efficient Vision-Language-Action Manipulation via Adaptive Token Caching,2025,preprint/unknown,Conference on Neural Information Processing Systems (NeurIPS 2025),Local full text first page states 39th Conference on Neural Information Processing Systems (NeurIPS 2025).,high,2502.02175,2025-02-04,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph; OpenAlex term search: SIMPLER Google Robot Bridge,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/0909365e230474cc372abd04ca5206f6478377b3; https://arxiv.org/abs/2502.02175; https://openalex.org/W4407185791,reports-results,google-fractal-vm; google-fractal-va,not reported,"Table 3 reports VLA-Cache within CogACT on SIMPLER Google Robot: Matching PickCan 92.0, MoveNear 83.3, Drawer 70.5, DrawerApple 51.6, Average 74.4; Aggregation PickCan 91.7, MoveNear 79.3, Drawer 32.5, DrawerApple 45.8, Average 62.3.",74.4,62.3,,74.8,CogACT,61.3,CogACT,,,"Local full text /tmp/simplerenv_audit/s2_texts/0909365e230474cc372abd04ca5206f6478377b3.txt, Table 3 lines 467-476.",high,number-associated weight available,https://huggingface.co/CogACT/CogACT-Base,"The tracked Table 2/Table 3 numbers are VLA-Cache applied to CogACT in SIMPLER Google Robot VM/VA, with averages 74.4 and 62.3. The paper and official project page describe VLA-Cache as training-free, and the official repository provides code rather than a learned VLA-Cache checkpoint. The SIMPLER table uses CogACT as the baseline/backbone; public CogACT-Base metadata lists checkpoints/CogACT-Base.pt. No large checkpoint was downloaded.",medium,Section 5.2 says SIMPLER is evaluated on Google Robot visual matching and variant aggregation; Table 3 gives success rates.,high,official-ish,Reports official-style SimplerEnv Google Robot/Fractal VM and VA success-rate averages using the standard task settings.
294,VLA-Pruner: Temporal-Aware Dual-Level Visual Token Pruning for Efficient Vision-Language-Action Inference,2025,arXiv.org,n/a,n/a,n/a,2511.16449,2025-11-20,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2511.16449,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/9a4bed05749a66fc2662fab37d9edbab8e5c3017; https://arxiv.org/abs/2511.16449; DOI 10.48550/arXiv.2511.16449,reports-results,simplerenv-result-unattributed,not reported,"Table 2 reports mixed SIMPLER task-setting results at 75% token pruning: VLA-Pruner Move Near 52.4, Pick Coke Can 50.1, Open/Close Drawer 48.8, Overall 50.4, with preservation ratios. The paper states Pick Coke Can is VA, Open/Close Drawer is VM, and Move Near is one selected task-setting pair; it does not provide full VM or VA suite averages.",,,,,,,,,,"Local full text /tmp/simplerenv_audit/s2_texts/9a4bed05749a66fc2662fab37d9edbab8e5c3017.txt, Table 2 lines 510-529 and SIMPLER description lines 520-529.",high,number-associated weight available,https://huggingface.co/openvla/openvla-7b,"The tracked number is the mixed SIMPLER subset result for VLA-Pruner at 75% pruning on OpenVLA. The arXiv abstract and official repository describe VLA-Pruner as a plug-and-play/training-free token-pruning method, so no learned VLA-Pruner checkpoint is expected for the reported run. The official repository's evaluation instructions use OpenVLA checkpoints, and the public OpenVLA Hugging Face repository exposes safetensors shards for openvla/openvla-7b. No large checkpoint was downloaded.",medium,"Full text reports SIMPLER numeric task results, but only for a mixed subset of Google Robot task/settings.",high,otherwise,"Reports a mixed subset of selected SimplerEnv task-setting pairs rather than a full comparable VM, VA, or WidowX/Bridge suite average."
295,VLA-Reasoner: Empowering Vision-Language-Action Models with Reasoning via Online Monte Carlo Tree Search,2025,arXiv.org,n/a,n/a,n/a,2509.22643,2025-09-26,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2509.22643,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/cf403503b4200ffc4af8e95077735445d7baa214; https://arxiv.org/abs/2509.22643; DOI 10.48550/arXiv.2509.22643,reports-results,widowx-bridge,not reported,"Table I reports SimplerEnv WidowX success rates. +VLA-Reasoner on Octo-Small: Block 13, Spoon 50, Carrot 32, Eggplant 54, Average 37.3. +VLA-Reasoner on SpatialVLA: Block 29, Spoon 35, Carrot 28, Eggplant 75, Average 41.8.",,,41.8,,,,,34.0,SpatialVLA,"Local full text /tmp/simplerenv_audit/s2_texts/cf403503b4200ffc4af8e95077735445d7baa214.txt, Table I lines 307-325.",high,weight-but-not-for-number,,"The tracked number is +VLA-Reasoner on Octo-Small/SpatialVLA in SimplerEnv WidowX, not the vanilla public VLA checkpoints. The paper describes VLA-Reasoner as using a finetuned action-aware world model, a KDE prior over offline data, and a trained ResNet-34-plus-MLP value estimator; it says components other than the world model are trained on the same dataset used to finetune the VLA and the world model is additionally finetuned on failure demonstrations. The official GitHub repository currently contains only a README saying the implementation will be released later, and I found no public VLA-Reasoner world/value/model checkpoint. Public SpatialVLA/Octo weights are related backbones, but they are not enough to reproduce the +VLA-Reasoner reported number.",high,Section IV and Table I report 100-episode SimplerEnv WidowX evaluations.,high,official-ish,Reports SimplerEnv WidowX/Bridge success rates across the standard four task categories with an average.
296,Vlaser: Vision-Language-Action Model with Synergistic Embodied Reasoning,2025,arXiv.org,International Conference on Learning Representations (ICLR 2026),Local full text first page states published as a conference paper at ICLR 2026.,high,2510.11027,2025-10-13,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2510.11027,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/ac3967e50c764f0f1dd791f511ce5afdb9ac8ade; https://arxiv.org/abs/2510.11027; DOI 10.48550/arXiv.2510.11027,reports-results,google-fractal-vm; google-fractal-va; widowx-bridge,not reported,"Table 3 reports Vlaser-All Google Robot Visual Matching Avg 76.2 and Variant Aggregation Avg 59.0. Table 2 reports Vlaser-All WidowX Avg 65.1 with Carrot 52.5, Eggplant 87.9, Spoon 76.6, Stack Cube 43.3.",76.2,59.0,65.1,68.4,Magma,62.6,Magma,54.9,pi0,"Local full text /tmp/simplerenv_audit/s2_texts/ac3967e50c764f0f1dd791f511ce5afdb9ac8ade.txt, Table 2 lines 459-477 and Table 3 lines 526-550.",high,number-associated weight available,https://huggingface.co/OpenGVLab/Vlaser-2B-VLA,"The tracked numbers are Vlaser SimplerEnv Google Robot Fractal VM/VA and WidowX/Bridge success rates. The official Vlaser README says the Vlaser-2B-VLA model for end-to-end robot control in SimplerEnv (WidowX and Google Robot) has been released, and the Simpler evaluation README instructs users to download Vlaser-2B-VLA and run Bridge and Fractal evaluation scripts. Hugging Face metadata lists public Bridge.ckpt and Fractal.ckpt files, and HEAD-only checks confirmed both checkpoint files resolve publicly without downloading them.",high,Section 3.2 evaluates Vlaser on SimplerEnv Google Robot and WidowX tasks with tabulated success rates.,high,official-ish,"Reports standard SimplerEnv Google Robot/Fractal VM, Google Robot/Fractal VA, and WidowX/Bridge success-rate averages."
297,VOTE: Vision-Language-Action Optimization with Trajectory Ensemble Voting,2025,arXiv.org,n/a,n/a,n/a,2507.05116,2025-07-07,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2507.05116,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/f70458d1c8f28f673b83b4044b1dc0438a8cd5ac; https://arxiv.org/abs/2507.05116; DOI 10.48550/arXiv.2507.05116,reports-results,google-fractal-vm; google-fractal-va; widowx-bridge,not reported,"Table 1 reports VOTE/Ours on SimplerEnv WidowX: Put Spoon 58.3, Put Carrot 29.2, Stack Block 50.0, Put Eggplant 95.8, Avg 58.3. Table 8 reports Google Robot VM Avg=74.9 and VA Avg=60.2.",74.9,60.2,58.3,82.7,CogACT,67.5,SpatialVLA (fine-tuned),51.3,CogACT,"arXiv:2507.05116 Table 1 reports VOTE/Ours WidowX Avg 58.3. Table 8 reports Google Robot Visual Matching task rates 89.0, 78.8, 56.9 with Avg 74.9, and Variant Aggregation task rates 84.3, 82.5, 13.8 with Avg 60.2.",high,weight-but-not-for-number,,"The tracked numbers are VOTE Table 1 SimplerEnv WidowX Avg 58.3 and Table 8 Google Robot VM/VA averages 74.9/60.2. The official GitHub README publishes the SimplerEnv table and links to the VOTE Hugging Face collection, but the public VOTE collection and juyil author listing expose LIBERO/task-family checkpoints such as spatial, long, goal, and libero_object variants, not SimplerEnv/Google/WidowX checkpoints tied to the tracked tables. Related VOTE weights exist, but I did not find public checkpoints for the reported SimplerEnv numbers.",high,Section 5 evaluates VOTE on LIBERO and SimplerEnv; Table 1 reports WidowX and Appendix Table 8 reports Google Robot VM/VA success rates.,high,official-ish,Reports SimplerEnv WidowX/Bridge and Google Robot/Fractal VM and VA success-rate averages in the standard benchmark settings.
298,What Can RL Bring to VLA Generalization? An Empirical Study,2025,arXiv.org,n/a,n/a,n/a,2505.19789,2025-05-26,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2505.19789,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/1d92c345ff78631aa5509c84e6ff91d446e2c712; https://arxiv.org/abs/2505.19789; DOI 10.48550/arXiv.2505.19789,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
299,WorldEval: World Model as Real-World Robot Policies Evaluator,2025,arXiv.org,n/a,n/a,n/a,2505.19017,2025-05-25,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2505.19017,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/0ac6e9af7417a3a33f2c6cee90fcf26284eff654; https://arxiv.org/abs/2505.19017; DOI 10.48550/arXiv.2505.19017,uses-data-no-results,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Section 4.2 says direct comparison with SIMPLER was not feasible, but the authors apply real-to-sim techniques proposed by SIMPLER to reduce visual discrepancies; no SIMPLER suite success rates are reported.",high,,
300,WorldGym: World Model as An Environment for Policy Evaluation,2025,preprint/unknown,n/a,n/a,n/a,2506.00613,2025-05-31,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/8dac59d54f3d268c3467c29fd8ac32d1770404a0; https://arxiv.org/abs/2506.00613,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Local full text mentions SIMPLER only in related-work comparison, saying SIMPLER constructs software simulators and is hard for OOD language/image inputs; WorldGym evaluates Bridge/Google Robot world-model rollouts, not SimplerEnv suites.",high,,
301,X-VLA: Soft-Prompted Transformer as Scalable Cross-Embodiment Vision-Language-Action Model,2025,arXiv.org,n/a,n/a,n/a,2510.10274,2025-10-11,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2510.10274,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/9855c60d2ecdcf7edc4622ecd004f0db147fc22b; https://arxiv.org/abs/2510.10274; DOI 10.48550/arXiv.2510.10274,reports-results,google-fractal-vm; google-fractal-va; widowx-bridge,not reported,"Table 2 reports X-VLA/Ours simulation benchmark results: Simpler VM 80.4, VA 75.7, WidowX 95.8.",80.4,75.7,95.8,78.0,FPC-VLA,72.7,MemoryVLA,71.9,MemoryVLA,"Local full text /tmp/simplerenv_audit/s2_texts/9855c60d2ecdcf7edc4622ecd004f0db147fc22b.txt, Table 2 lines 438-467.",high,number-associated weight available,https://huggingface.co/collections/2toINF/x-vla,"The tracked paper Table 2 reports X-VLA/Ours on Simpler VM 80.4, VA 75.7, and WidowX 95.8. The official project page states code, models, and datasets are open source; the official GitHub README lists dedicated Simpler checkpoints for Google Robot and WidowX; the WidowX model card reports the exact 95.8 average; and HF metadata for both Google Robot and WidowX model repos lists model.safetensors. The Google Robot release table reports 83.5/76.4 rather than the tracked 80.4/75.7, so the association is medium rather than high. No large checkpoint was downloaded.",medium,"Table 2 includes Simpler VM, VA, and WidowX columns for X-VLA and baselines.",high,official-ish,"Reports standard SimplerEnv VM, VA, and WidowX success-rate averages for X-VLA and baselines."
302,A Survey on Sim-to-Real Transfer Methods for Robotic Manipulation,2024,Symposium on Intelligent Systems and Informatics,2024 IEEE 22nd Jubilee International Symposium on Intelligent Systems and Informatics (SISY),"Crossref DOI 10.1109/SISY62279.2024.10737545 lists the SISY 2024 proceedings, pages 000259-000266.",high,,n/a,n/a,10.1109/SISY62279.2024.10737545,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/a511eace5171da7dffb1bf6f2bfc8a0cd90e907f; DOI 10.1109/SISY62279.2024.10737545,unclear/full-text-unavailable,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,No open full text/PDF was converted in the audit cache; citation graph confirms the citation only.,low,,
303,A Survey on Vision-Language-Action Models for Embodied AI,2024,arXiv.org,IEEE Transactions on Neural Networks and Learning Systems,Local full text header and DOI line identify IEEE Transactions on Neural Networks and Learning Systems; Crossref DOI 10.1109/TNNLS.2025.3650584 confirms the venue.,high,2405.14093,2024-05-23,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.1109/TNNLS.2025.3650584,Semantic Scholar citation graph; OpenAlex term search: SIMPLER WidowX; OpenAlex term search: SimplerEnv,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/ae9a2bcd460354c706aaea8797b1c2c15841a6b6; https://arxiv.org/abs/2405.14093; DOI 10.1109/TNNLS.2025.3650584; https://openalex.org/W4398796510,uses-data-no-results,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Local full text lists SimplerEnv in VLA-model comparison tables and benchmark/dataset discussion but does not report original SimplerEnv suite results.,high,,
304,Active Fine-Tuning of Multi-Task Policies,2024,International Conference on Machine Learning,International Conference on Machine Learning,"Local full text first page states Proceedings of the 42nd International Conference on Machine Learning, PMLR 267, 2025.",high,2410.05026,2024-10-07,Semantic Scholar/OpenAlex arXiv publication-date metadata,,Semantic Scholar citation graph; OpenAlex term search: SIMPLER WidowX,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/0144cc5c520a83af763267fc813b689ed8e20186; https://arxiv.org/abs/2410.05026; https://openalex.org/W4403324002,reports-results,simplerenv-result-unattributed,2 demonstrations per round for 5 iterations; initial successful-rollout pool size not reported,"Appendix F reports Figure 10 multi-task success-rate curves for AMF-NN, uniform with adaptive prior, and uniform on life-like WidowX tasks using rollouts from a pre-trained Octo agent; exact numeric success rates are plotted but not tabulated.",,,,,,,,,,"Local full text /tmp/simplerenv_audit/s2_texts/0144cc5c520a83af763267fc813b689ed8e20186.txt, Appendix F lines 1856-1882.",high,weight-but-not-for-number,,"The tracked SimpleEnv/SimplerEnv result is Appendix F/Figure 10, showing AMF-NN and baselines after active fine-tuning of a pre-trained Octo agent on life-like WidowX tasks. OpenReview links the official AMF code repo, but that repo provides implementation and dataset-generation instructions only and shows no public releases/checkpoints for the Simpler fine-tuned policies. Public Octo base weights exist, but they are only the starting policy, not the AMF fine-tuned policies that produced the tracked curves.",high,Appendix F states a recently proposed evaluation suite correlating with real-world results is used for simulated Octo rollouts on WidowX tasks and reports Figure 10 results.,high,otherwise,"Reports active-fine-tuning curves on life-like WidowX/SimplerEnv-derived tasks, but no comparable standard WidowX/Bridge suite number."
305,CogACT: A Foundational Vision-Language-Action Model for Synergizing Cognition and Action in Robotic Manipulation,2024,arXiv.org,n/a,n/a,n/a,2411.19650,2024-11-29,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2411.19650,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/54caf5927a6d656bb84d2a16e16fa2b0c5d6f522; https://arxiv.org/abs/2411.19650; DOI 10.48550/arXiv.2411.19650,reports-results,google-fractal-vm; google-fractal-va; widowx-bridge,not reported,"Table 1 reports CogACT/Ours Google Robot Visual Matching Avg 74.8 and Variant Aggregation Avg 61.3. Table 2 reports WidowX Visual Matching Ours Avg 51.3 with Spoon 71.7, Carrot 50.8, Stack 15.0, Eggplant 67.5.",74.8,61.3,51.3,52.4,RT-1,54.4,RT-2-X,26.7,Octo-Small,"Local full text /tmp/simplerenv_audit/s2_texts/54caf5927a6d656bb84d2a16e16fa2b0c5d6f522.txt, Table 1 lines 377-394 and Table 2 lines 396-408.",high,number-associated weight available,https://huggingface.co/CogACT/CogACT-Base,"The tracked numbers are CogACT/Ours with Google Robot VM 74.8, VA 61.3, and WidowX VM 51.3. The paper states the default action model is DiT-Base, and the official GitHub README releases three public CogACT model sizes, using CogACT/CogACT-Base as the minimal inference and SimplerEnv evaluation example. Hugging Face metadata confirms CogACT/CogACT-Base is public and contains checkpoints/CogACT-Base.pt plus configs. This is the default model corresponding to the tracked Tables 1-2 rather than only a generic family checkpoint.",high,Section 4.1 and Tables 1-2 directly evaluate CogACT in the SIMPLER environment on Google Robot and WidowX settings.,high,official-ish,"Reports standard SimplerEnv Google Robot/Fractal VM, Google Robot/Fractal VA, and WidowX/Bridge success-rate averages."
306,Contrast Sets for Evaluating Language-Guided Robot Policies,2024,Conference on Robot Learning,Conference on Robot Learning,"Local full text first page states 8th Conference on Robot Learning (CoRL 2024), Munich, Germany.",high,2406.13636,2024-06-19,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2406.13636,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/291edae6aed9c0d7c5c38b1f0c17ccdc70fa593b; https://arxiv.org/abs/2406.13636; DOI 10.48550/arXiv.2406.13636,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph row; converted text did not contain SimplerEnv benchmark-use/result terms beyond the citation record.,high,,
307,Deep Reinforcement Learning for Robotics: A Survey of Real-World Successes,2024,AAAI Conference on Artificial Intelligence,Proceedings of the AAAI Conference on Artificial Intelligence,Crossref DOI 10.1609/aaai.v39i27.35095 lists the AAAI proceedings for this title; Annual Reviews also has a journal version under DOI 10.1146/annurev-control-030323-022510.,high,2408.03539,2024-08-07,Semantic Scholar/OpenAlex arXiv publication-date metadata,10.48550/arXiv.2408.03539,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/4f5aa34d2e6758f78dc4a731cc2eed26f83de3b4; https://arxiv.org/abs/2408.03539; DOI 10.48550/arXiv.2408.03539,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Local full text contains the SIMPLER seed only in the literature cited entry and does not discuss or report SimplerEnv benchmark use.,high,,
308,Design of a Service Robot System Based on a Multimodal Large Model,2024,2024 6th International Symposium on Robotics & Intelligent Manufacturing Technology (ISRIMT),2024 6th International Symposium on Robotics & Intelligent Manufacturing Technology (ISRIMT),"Crossref DOI 10.1109/isrimt63979.2024.10875274 lists ISRIMT 2024 proceedings, pages 81-86.",high,,n/a,n/a,10.1109/isrimt63979.2024.10875274,Semantic Scholar citation graph,Semantic Scholar says this work cites the SIMPLER seed paper (arXiv 2405.05941 / CoRL-PMLR version).,indexed-citation,https://www.semanticscholar.org/paper/c028cd1c0a362338851b35844bac83f925ad6671; DOI 10.1109/isrimt63979.2024.10875274,unclear/full-text-unavailable,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,No open full text/PDF was converted in the audit cache; citation graph confirms the citation only.,low,,
