ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,CALVIN usage,Evaluation protocol,Demos per task,Reported benchmark numbers,ABC D average task completed,ABCD D average task completed,D D average task completed,ABC D 5/5 chain success rate,ABCD D 5/5 chain success rate,D D 5/5 chain success rate,DD previous SOTA ATC,DD previous SOTA name,ABCD previous SOTA ATC,ABCD previous SOTA name,ABCDD previous SOTA ATC,ABCDD previous SOTA name,ABCD previous SOTA 5/5 chain success rate,ABCDD previous SOTA 5/5 chain success rate,DD previous SOTA 5/5 chain success rate,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
453,Towards Diverse Behaviors: A Benchmark for Imitation Learning with Human Demonstrations,2024,International Conference on Learning Representations,n/a,n/a,n/a,2402.14606,2024-02-22,arXiv API published date for 2402.14606,10.48550/arXiv.2402.14606,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/9447b8e5f5cc8010cc077542e5be23ed06b1f1fe; Semantic Scholar: 9447b8e5f5cc8010cc077542e5be23ed06b1f1fe,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
454,Towards Generalist Robot Learning from Internet Video: A Survey,2024,Journal of Artificial Intelligence Research,n/a,n/a,n/a,2404.19664,2024-04-30,arXiv API published date for 2404.19664,10.1613/jair.1.17400,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/79226d4525fd88264b78a9e2fc2061c081824ff0; Semantic Scholar: 79226d4525fd88264b78a9e2fc2061c081824ff0,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
455,"Towards Synergistic, Generalized, and Efficient Dual-System for Robotic Manipulation",2024,arXiv.org,n/a,n/a,n/a,2410.08001,2024-10-10,arXiv API published date for 2410.08001,10.48550/arxiv.2410.08001,OpenAlex term search - CALVIN benchmark robot; OpenAlex term search - CALVIN robot topic; Semantic Scholar citation graph; Wizwand/PapersWithCode CALVIN ABCD D average-task leaderboard; Wizwand/PapersWithCode CALVIN ABCD D task-completion leaderboard; arXiv term search - CALVIN benchmark robot,CALVIN RA-L DOI; CALVIN abcd-d average task completion result entry; CALVIN arXiv ID; CALVIN term/full-text metadata match; CALVIN term/metadata match,indexed-citation,http://arxiv.org/abs/2410.08001; https://arxiv.org/abs/2410.08001; https://opendrivelab.com/RoboDual/; https://www.semanticscholar.org/paper/22e51729cb40d843ccbc687d4a2c0d1c996bad1e; https://www.wizwand.com/paper/68fa76e91e209131cea6fe1c; https://arxiv.org/abs/2410.08001; OpenAlex: W4403365507; Semantic Scholar: 22e51729cb40d843ccbc687d4a2c0d1c996bad1e; Wizwand paper: 68fa76e91e209131cea6fe1c,reports-results,abc-d,not reported,ABC D average task completed=3.66,3.66,,,54.4,,,,,3.27,3D Diffuser Actor,,,41.2,,,"Cached arXiv HTML 2410.08001, CALVIN ABC->D table: RoboDual Avg. Len. 3.66.",high,number-associated weight available,https://github.com/OpenDriveLab/RoboDual#model-checkpoints,Official RoboDual README links generalist and specialist checkpoints and gives the CALVIN evaluation command using both models. No large weights were downloaded.,high,"Cached arXiv HTML 2410.08001, CALVIN ABC->D table: RoboDual Avg. Len. 3.66.",high,official-ish,Reports a standard CALVIN ABC->D average task completion value.
456,Transferable Hierarchical Skill Learning with Diffusion Models for Robot Manipulation,2024,2024 8th Asian Conference on Artificial Intelligence Technology (ACAIT),2024 8th Asian Conference on Artificial Intelligence Technology (ACAIT),OpenAlex primary location metadata,medium,,n/a,n/a,10.1109/acait63902.2024.11021708,OpenAlex term search - CALVIN robot topic; OpenCitations DOI graph; OpenAlex DOI metadata; Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID; CALVIN term/metadata match,indexed-citation,https://doi.org/10.1109/acait63902.2024.11021708; https://www.semanticscholar.org/paper/0280be49fbac5280ca1f60e5bad3cca0114b5eed; OpenAlex: W4411173681; Semantic Scholar: 0280be49fbac5280ca1f60e5bad3cca0114b5eed,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
457,Unlocking Robotic Autonomy: A Survey on the Applications of Foundation Models,2024,International Journal of Control Automation and Systems,International Journal of Control Automation and Systems,OpenAlex primary location metadata,medium,,n/a,n/a,10.1007/s12555-024-0438-7,OpenAIRE ScholeXplorer citation graph; OpenCitations DOI graph; OpenAlex DOI metadata,CALVIN RA-L DOI; CALVIN arXiv DOI,indexed-citation,https://doi.org/10.1007/s12555-024-0438-7; OpenAlex: W4401277224,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
458,VICtoR: Learning Hierarchical Vision-Instruction Correlation Rewards for Long-horizon Manipulation,2024,International Conference on Learning Representations,n/a,n/a,n/a,2405.16545,2024-05-26,arXiv API published date for 2405.16545,10.48550/arXiv.2405.16545,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/9ca54942f9c99c528aeaae7f220e3e970d2744e8; Semantic Scholar: 9ca54942f9c99c528aeaae7f220e3e970d2744e8,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
459,Video Prediction Policy: A Generalist Robot Policy with Predictive Visual Representations,2024,International Conference on Machine Learning,n/a,n/a,n/a,2412.14803,2024-12-19,arXiv API published date for 2412.14803,10.48550/arxiv.2412.14803,OpenAlex term search - CALVIN benchmark robot; Semantic Scholar citation graph; Wizwand/PapersWithCode CALVIN ABC D average-task leaderboard; Wizwand/PapersWithCode CALVIN ABC D task-completion leaderboard; Wizwand/PapersWithCode CALVIN ABCD D average-task leaderboard; Wizwand/PapersWithCode CALVIN ABCD D task-completion leaderboard; arXiv term search - CALVIN; arXiv term search - CALVIN benchmark robot,CALVIN RA-L DOI; CALVIN abc-d average task completion result entry; CALVIN abcd-d average task completion result entry; CALVIN arXiv ID; CALVIN term/full-text metadata match; CALVIN term/metadata match,indexed-citation,http://arxiv.org/abs/2412.14803; https://arxiv.org/abs/2412.14803; https://video-prediction-policy.github.io; https://www.semanticscholar.org/paper/3461cadf487a14afc0444df4602773b1cd0445d9; https://www.wizwand.com/paper/68fa78581e209131cea77da7; https://arxiv.org/abs/2412.14803; OpenAlex: W4405634593; Semantic Scholar: 3461cadf487a14afc0444df4602773b1cd0445d9; Wizwand paper: 68fa78581e209131cea77da7,reports-results,abc-d,not reported,ABC D average task completed=4.33,4.33,,,76.9,,,,,3.65,RoboUniview,,,50.7,,,"Cached arXiv HTML 2412.14803, CALVIN ABC-D main table: VPP Avg. Len. 4.33.",high,number-associated weight available,https://huggingface.co/yjguo/svd-robot-calvin-ft; https://huggingface.co/yjguo/dp-calvin,Official VPP README says to replicate the CALVIN ABC result with `svd-robot-calvin` and `dp-calvin`; Hugging Face metadata lists the video-model safetensors and `last.pt` action model. No large weights were downloaded.,high,"Cached arXiv HTML 2412.14803, CALVIN ABC-D main table: VPP Avg. Len. 4.33.",high,official-ish,Reports a standard CALVIN ABC->D average task completion value.
460,VidMan: Exploiting Implicit Dynamics from Video Diffusion Model for Effective Robot Manipulation,2024,Neural Information Processing Systems,Accepted to NeurIPS 2024,arXiv comment,low,2411.09153,2024-11-14,arXiv API published date for 2411.09153,10.48550/arxiv.2411.09153,OpenAlex term search - CALVIN benchmark robot; Semantic Scholar citation graph; Wizwand/PapersWithCode CALVIN ABC D average-task leaderboard; Wizwand/PapersWithCode CALVIN ABC D task-completion leaderboard; Wizwand/PapersWithCode CALVIN ABCD D average-task leaderboard; arXiv term search - CALVIN; arXiv term search - CALVIN benchmark robot,CALVIN RA-L DOI; CALVIN abc-d average task completion result entry; CALVIN abcd-d average task completion result entry; CALVIN arXiv ID; CALVIN term/full-text metadata match; CALVIN term/metadata match,indexed-citation,http://arxiv.org/abs/2411.09153; https://arxiv.org/abs/2411.09153; https://www.semanticscholar.org/paper/56b2d5f48249bc55966a02792339ecf0d52ce563; https://www.wizwand.com/paper/68fa75af1e209131cea69482; https://arxiv.org/abs/2411.09153; OpenAlex: W4404450516; Semantic Scholar: 56b2d5f48249bc55966a02792339ecf0d52ce563; Wizwand paper: 68fa75af1e209131cea69482,reports-results,abc-d,not reported,ABC D average task completed=3.42,3.42,,,46.7,,,,,3.35,3D Diffuser Actor,,,41.2,,,Cached arXiv HTML 2411.09153 reports VidMan CALVIN Avg. Len. 3.42; OpenReview discussion and baseline values identify this as CALVIN ABC->D.,high,number-associated weight available,https://huggingface.co/jirufengyu/vidman,Official VidMan project/GitHub points to public Hugging Face model files for the reported CALVIN VidMan result. No large weights were downloaded.,high,Cached arXiv HTML 2411.09153 reports VidMan CALVIN Avg. Len. 3.42; OpenReview discussion and baseline values identify this as CALVIN ABC->D.,high,official-ish,"Reports a CALVIN ABC-D average task-completion result, which matches the standard long-horizon split protocol."
461,VLABench: A Large-Scale Benchmark for Language-Conditioned Robotics Manipulation with Long-Horizon Reasoning Tasks,2024,IEEE International Conference on Computer Vision,n/a,n/a,n/a,2412.18194,2024-12-24,arXiv API published date for 2412.18194,10.1109/ICCV51701.2025.01037,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/93657d550dd636b5bc284d9803b20646aafc37bf; Semantic Scholar: 93657d550dd636b5bc284d9803b20646aafc37bf,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
462,What Foundation Models can Bring for Robot Learning in Manipulation : A Survey,2024,The international journal of robotics research,n/a,n/a,n/a,2404.18201,2024-04-28,arXiv API published date for 2404.18201,10.48550/arXiv.2404.18201,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/f85842ac60ab2613d8de7d4881cbdf605b3efb72; Semantic Scholar: f85842ac60ab2613d8de7d4881cbdf605b3efb72,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
463,What Matters in Building Vision-Language-Action Models for Generalist Robots,2024,Nature Machine Intelligence,n/a,n/a,n/a,2412.14058,2024-12-18,arXiv API published date for 2412.14058,10.48550/arXiv.2412.14058,Semantic Scholar citation graph; Wizwand/PapersWithCode CALVIN ABC D average-task leaderboard; Wizwand/PapersWithCode CALVIN ABCD D task-completion leaderboard,CALVIN RA-L DOI; CALVIN abc-d average task completion result entry; CALVIN abcd-d average task completion result entry; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/7d638461965faa79cfd28d5f0a6fbb12fca41c9f; https://www.wizwand.com/paper/68fa76601e209131cea6cbc6; https://arxiv.org/abs/2412.14058; robovlms.github.io; Semantic Scholar: 7d638461965faa79cfd28d5f0a6fbb12fca41c9f; Wizwand paper: 68fa76601e209131cea6cbc6,reports-results,abc-d; abcd-d,not reported,ABC-D Avg Len 4.25; ABCD-D Avg Len 4.49.,4.25,4.49,,70.4,82.6,,,,3.06,GR-1,4.21,GR-1,40.1,73.1,,"Local arXiv HTML cache calvin/audit_sources/arxiv_html_2412.14058.txt, CALVIN result tables.",high,number-associated weight available,https://huggingface.co/robovlms/RoboVLMs,Official RoboVLMs model card lists CALVIN ABC and ABCD checkpoint directories matching the tracked 4.25 and 4.49 results. No large weights were downloaded.,high,"Local arXiv HTML cache calvin/audit_sources/arxiv_html_2412.14058.txt, CALVIN result tables.",high,official-ish,Reports CALVIN ABC-D and ABCD-D average-length results under standard official-style long-horizon evaluation.
464,WorldSimBench: Towards Video Generation Models as World Simulators,2024,arXiv.org,n/a,n/a,n/a,2410.18072,2024-10-23,arXiv API published date for 2410.18072,10.48550/arXiv.2410.18072,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/bc2ddba47a9d6b378abd8a8584849f3e4c410f24; Semantic Scholar: bc2ddba47a9d6b378abd8a8584849f3e4c410f24,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
465,A Data-Efficient Visual-Audio Representation with Intuitive Fine-tuning for Voice-Controlled Robots,2023,Conference on Robot Learning,n/a,n/a,n/a,2301.09749,2023-01-23,arXiv API published date for 2301.09749,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/b80c15b90efdf7f65cba9c42513dee1e9433d38c; Semantic Scholar: b80c15b90efdf7f65cba9c42513dee1e9433d38c,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
466,AlphaBlock: Embodied Finetuning for Vision-Language Reasoning in Robot Manipulation,2023,arXiv.org,n/a,n/a,n/a,2305.18898,2023-05-30,arXiv API published date for 2305.18898,10.48550/arXiv.2305.18898,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/80be1426825288ff876acb8cc0babcc6629fa644; Semantic Scholar: 80be1426825288ff876acb8cc0babcc6629fa644,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
467,ARNOLD: A Benchmark for Language-Grounded Task Learning With Continuous States in Realistic 3D Scenes,2023,IEEE International Conference on Computer Vision,2023 IEEE/CVF International Conference on Computer Vision (ICCV),OpenAlex primary location metadata,medium,2304.04321,2023-04-09,arXiv API published date for 2304.04321,10.1109/iccv51070.2023.01873,OpenCitations DOI graph; OpenAlex DOI metadata; Semantic Scholar citation graph; Subagent arXiv metadata audit,CALVIN RA-L DOI; CALVIN arXiv ID; Subagent arXiv metadata audit matched the ARNOLD title to its arXiv version with the 3D-scenes title variant.,indexed-citation,https://arxiv.org/abs/2304.04321; https://doi.org/10.1109/iccv51070.2023.01873; https://www.semanticscholar.org/paper/4f395e0fa10d58fdd32873e7ebe94d1f425eac7c; https://www.semanticscholar.org/paper/7a2ec15a7a3e3f54be083aa559ec6f6453e3c9ac; OpenAlex: W4390873239; Semantic Scholar: 4f395e0fa10d58fdd32873e7ebe94d1f425eac7c; Semantic Scholar: 7a2ec15a7a3e3f54be083aa559ec6f6453e3c9ac,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
468,Audio Visual Language Maps for Robot Navigation,2023,International Symposium on Experimental Robotics,n/a,n/a,n/a,2303.07522,2023-03-13,arXiv API published date for 2303.07522,10.48550/arXiv.2303.07522,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/93565fe6db3948c9c414af1d1edccf4aff5e2e10; Semantic Scholar: 93565fe6db3948c9c414af1d1edccf4aff5e2e10,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
469,Bridging Language and Action: A Survey of Language-Conditioned Robot Manipulation,2023,preprint/unknown,n/a,n/a,n/a,2312.10807,2023-12-17,arXiv API published date for 2312.10807,,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/7f6cdece764b56262e910a801f8c133e6c27b7ab; Semantic Scholar: 7f6cdece764b56262e910a801f8c133e6c27b7ab,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Local PDF text cache calvin/audit_fulltext/arxiv_pdf_2312.10807.txt describes CALVIN in a survey section and benchmark-comparison Table 8, including that CALVIN has 34 tasks and MTLC/LH-MTLC metrics. It does not report a new CALVIN experiment or numeric CALVIN performance result for this survey.",high,,
470,Code as Policies: Language Model Programs for Embodied Control,2023,IEEE International Conference on Robotics and Automation,2023 IEEE International Conference on Robotics and Automation (ICRA),OpenAlex primary location metadata,medium,2209.07753,2022-09-16,arXiv API published date for 2209.07753,10.1109/icra48891.2023.10160591,OpenAIRE ScholeXplorer citation graph; OpenCitations DOI graph; OpenAlex DOI metadata; Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv DOI; CALVIN arXiv ID,indexed-citation,https://doi.org/10.1109/icra48891.2023.10160591; https://www.semanticscholar.org/paper/91deaf9d324c8feafc189da0da03e60a60287bca; OpenAlex: W4383097638; Semantic Scholar: 91deaf9d324c8feafc189da0da03e60a60287bca,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
471,Diffused Task-Agnostic Milestone Planner,2023,Neural Information Processing Systems,n/a,n/a,n/a,2312.03395,2023-12-06,arXiv API published date for 2312.03395,10.48550/arXiv.2312.03395,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/c9c04748167bb2dd39272a008f84d720a292b0d2; Semantic Scholar: c9c04748167bb2dd39272a008f84d720a292b0d2,reports-results,lh-mtlc,not reported,"CALVIN result reported, but no split average task-completion value is comparable to ABC D, ABCD D, or D D columns.",,,,,,,,,,,,,,,,"Cached arXiv HTML 2312.03395, Table 3 reports averaged CALVIN success rates for 1/2/3-task groups: DTAMP 54.8% average and DTAMP+HER+Replanning 62.7% average.",high,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,"Cached arXiv HTML 2312.03395, Table 3 reports averaged CALVIN success rates for 1/2/3-task groups: DTAMP 54.8% average and DTAMP+HER+Replanning 62.7% average.",high,otherwise,"Reports custom goal-image success rates grouped by 1/2/3 implied tasks, not standard CALVIN split ATC."
472,Diffusion Model is an Effective Planner and Data Synthesizer for Multi-Task Reinforcement Learning,2023,Neural Information Processing Systems,n/a,n/a,n/a,2305.18459,2023-05-29,arXiv API published date for 2305.18459,10.48550/arXiv.2305.18459,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/828e27fd4fcd5e8982032b903950947b12afb6bb; Semantic Scholar: 828e27fd4fcd5e8982032b903950947b12afb6bb,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
473,Diffusion Policy: Visuomotor Policy Learning via Action Diffusion,2023,preprint/unknown,n/a,n/a,n/a,2303.04137,2023-03-07,arXiv API published date for 2303.04137,10.48550/arXiv.2303.04137,Wizwand/PapersWithCode CALVIN ABC D average-task leaderboard; Wizwand/PapersWithCode CALVIN ABC D task-completion leaderboard; Wizwand/PapersWithCode CALVIN ABCD D average-task leaderboard; Wizwand/PapersWithCode CALVIN ABCD D task-completion leaderboard,CALVIN abc-d average task completion result entry; CALVIN abcd-d average task completion result entry,term-only,https://www.wizwand.com/paper/68fa72841e209131cea56f68; https://arxiv.org/abs/2303.04137; Wizwand paper: 68fa72841e209131cea56f68,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Official arXiv HTML 2303.04137 for Diffusion Policy has zero CALVIN mentions and no CALVIN results.,high,,
474,DiffVL: Scaling Up Soft Body Manipulation using Vision-Language Driven Differentiable Physics,2023,Neural Information Processing Systems,n/a,n/a,n/a,2312.06408,2023-12-11,arXiv API published date for 2312.06408,10.48550/arXiv.2312.06408,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/1b29326d5c4ae8ba833b8571e8dfa5c8471bd29e; Semantic Scholar: 1b29326d5c4ae8ba833b8571e8dfa5c8471bd29e,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
475,EMS®: A Massive Computational Experiment Management System towards Data-driven Robotics,2023,IEEE International Conference on Robotics and Automation,n/a,n/a,n/a,,n/a,n/a,10.1109/ICRA48891.2023.10160948,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/17ae1e64d1046814214a97748559adb9907550ee; Semantic Scholar: 17ae1e64d1046814214a97748559adb9907550ee,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
476,Exploring and Improving the Spatial Reasoning Abilities of Large Language Models,2023,arXiv.org,Published in NeurIPS 2023 Workshop on Instruction Tuning and Instruction Following,arXiv comment,low,2312.01054,2023-12-02,arXiv API published date for 2312.01054,10.48550/arxiv.2312.01054,OpenAlex term search - CALVIN benchmark robot; Semantic Scholar citation graph; arXiv term search - CALVIN benchmark robot,CALVIN RA-L DOI; CALVIN arXiv ID; CALVIN term/full-text metadata match; CALVIN term/metadata match,indexed-citation,http://arxiv.org/abs/2312.01054; https://arxiv.org/abs/2312.01054; https://www.semanticscholar.org/paper/152e0185bbae8a58e7e03aa4a630c0e7e6e19513; OpenAlex: W4389363271; Semantic Scholar: 152e0185bbae8a58e7e03aa4a630c0e7e6e19513,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
477,"Exploring Visual Pre-training for Robot Manipulation: Datasets, Models and Methods",2023,IEEE/RJS International Conference on Intelligent RObots and Systems,n/a,n/a,n/a,2308.03620,2023-08-07,arXiv API published date for 2308.03620,10.1109/IROS55552.2023.10342201,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/4fb3695d7a3cba3db438cda198c724225ab48a38; Semantic Scholar: 4fb3695d7a3cba3db438cda198c724225ab48a38,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
478,FurnitureBench: Reproducible Real-World Benchmark for Long-Horizon Complex Manipulation,2023,Robotics: Science and Systems XIX,Robotics: Science and Systems XIX,OpenAlex primary location metadata,medium,2305.12821,2023-05-01,month inferred from arXiv ID 2305.12821; exact date not resolved,10.15607/rss.2023.xix.041,OpenAlex citation graph; OpenCitations DOI graph; OpenAlex DOI metadata; Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv; CALVIN arXiv ID,indexed-citation,https://doi.org/10.1177/02783649241304789; https://doi.org/10.15607/rss.2023.xix.041; https://www.semanticscholar.org/paper/f80de0e8d343166f8e9b2cf844253d7b24b443d4; OpenAlex: W4385430633; OpenAlex: W4407363759; Semantic Scholar: f80de0e8d343166f8e9b2cf844253d7b24b443d4,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
479,Generalizable Long-Horizon Manipulations with Large Language Models,2023,arXiv.org,n/a,n/a,n/a,2310.02264,2023-10-03,arXiv API published date for 2310.02264,10.48550/arXiv.2310.02264,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/a01a869d5c00080517a016f0a7f47fefadee75fe; Semantic Scholar: a01a869d5c00080517a016f0a7f47fefadee75fe,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
480,Goal-Conditioned Imitation Learning using Score-based Diffusion Policies,2023,Robotics: Science and Systems XIX,Robotics: Science and Systems XIX,OpenAlex primary location metadata,medium,2304.02532,2023-04-01,month inferred from arXiv ID 2304.02532; exact date not resolved,10.15607/rss.2023.xix.028,OpenAlex citation graph; Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv; CALVIN arXiv ID,indexed-citation,https://doi.org/10.15607/rss.2023.xix.028; https://www.semanticscholar.org/paper/1334a47e8f4e4ffd04ff534329d76a5e5cc16f46; OpenAlex: W4385430497; Semantic Scholar: 1334a47e8f4e4ffd04ff534329d76a5e5cc16f46,reports-results,lh-mtlc,not reported,"CALVIN LfP results are reported in Figures 3-4; Table II BESO ablation reports deterministic hard tasks 0.71 +/- 0.01, 2 tasks 0.79 +/- 0.03; stochastic hard tasks 0.68 +/- 0.03, 2 tasks 0.79 +/- 0.02.",,,,,,,,,,,,,,,,"Local arXiv PDF text cache calvin/audit_fulltext/arxiv_pdf_2304.02532.txt, Figures 3-4 and Table II.",high,not-found,,"No public checkpoint/download path tied to the tracked CALVIN result was found in the harvested paper, arXiv, OpenReview, Wizwand/PapersWithCode, GitHub, or project-page links. Code-only pages, datasets, generic base weights, and unrelated benchmark checkpoints were not counted.",low,"Local arXiv PDF text cache calvin/audit_fulltext/arxiv_pdf_2304.02532.txt, Figures 3-4 and Table II.",high,otherwise,Evaluates goal-image single-task and two-task CALVIN LfP variants rather than the official long-horizon chain protocol.
481,Goal Representations for Instruction Following: A Semi-Supervised Language Interface to Control,2023,Conference on Robot Learning,n/a,n/a,n/a,2307.00117,2023-06-30,arXiv API published date for 2307.00117,10.48550/arXiv.2307.00117,Semantic Scholar citation graph,CALVIN RA-L DOI; CALVIN arXiv ID,indexed-citation,https://www.semanticscholar.org/paper/0aabe33217cfee4f25b8bb16fa44f843ca181934; Semantic Scholar: 0aabe33217cfee4f25b8bb16fa44f843ca181934,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Citation graph confirms the paper cites the CALVIN seed; no CALVIN result evidence extracted from available metadata/full text.,medium,,
