ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,OpenAlex arXiv cited-by count,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,RoboCasa usage,Evaluation protocol,Demos per task,Reported benchmark numbers,RSS24 reported success rate,RoboCasa365 reported success rate,GR1 reported success rate,RSS24 previous SOTA success rate,RSS24 previous SOTA name,RoboCasa365 previous SOTA success rate,RoboCasa365 previous SOTA name,GR1 previous SOTA success rate,GR1 previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
316,FetchBench: A Simulation Benchmark for Robot Fetching,2024,Conference on Robot Learning,Conference on Robot Learning,derived from Venue/status/DOI metadata,medium,2406.11793,,2024-06-17,arXiv API published date,10.48550/arXiv.2406.11793,Semantic Scholar citation graph; OpenAIRE ScholeXplorer citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/6a79233f5139b6a855cfad3f07e8e11a6c723a00; https://dx.doi.org/10.48550/arxiv.2406.11793,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,FetchBench benchmark comparison/background only; no FetchBench result on RoboCasa.,medium,,
317,Flex3D: Feed-Forward 3D Generation With Flexible Reconstruction Model And Input View Curation,2024,International Conference on Machine Learning,International Conference on Machine Learning,derived from Venue/status/DOI metadata,medium,2410.00890,,2024-10-01,arXiv API published date,10.48550/arXiv.2410.00890,OpenAlex term search: RoboCasa; Semantic Scholar citation graph; OpenAIRE ScholeXplorer citation graph; CORE term search: RoboCasa,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W4403883093; OpenAlex: W4403883093; https://dx.doi.org/10.48550/arxiv.2410.00890; https://core.ac.uk/download/624084256.pdf; https://core.ac.uk/download/647986813.pdf,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"CM Transactions on Graphics, 42(4), 2023. tions of the ACM, 65(1):99-106, 2021. Kwak, J.-g., Dong, E., Jin, Y., Ko, H., Mahajan, S., and Yi, Nasiriany, S., Maddukuri, A., Zhang, L., Parikh, A., Lo, A., K. M. Vivid-1-to-3: Novel view synthesis with video dif- Joshi, A., Mandlekar, A., and Zhu, Y. Robocasa: Large- fusion models. arXiv preprint arXiv:2312.01305, 2023. scale simulation of everyday tasks for generalist robots. arXiv preprint arXiv:2406.02523, 2024. Lan, Y., Hong, F., Yang, S., Zhou, S., Meng, X., Dai, B., Pan, X., and Loy, C. C. Ln3diff: Scalable latent neural Oquab, M., Darcet, T., Moutakanni, T., Vo, H., Szafraniec, fields diffusion for speedy 3d generation. In ECCV, 2024. M.,",medium,,
318,Generative AI Agents in Autonomous Machines: A Safety Perspective,2024,International Conference on Computer Aided Design,International Conference on Computer Aided Design,derived from Venue/status/DOI metadata,medium,2410.15489,,2024-10-20,arXiv API published date,10.1145/3676536.3698390,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W4404088697; OpenAlex: W4404088697,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"1, 2024, New York, NY, USA preprint arXiv:2403.03174 (2024). [122] Soroush Nasiriany, Abhiram Maddukuri, Lance Zhang, Adeet Parikh, Aaron [97] Haotian Liu, Chunyuan Li, Yuheng Li, and Yong Jae Lee. 2024. Improved base- Lo, Abhishek Joshi, Ajay Mandlekar, and Yuke Zhu. 2024. RoboCasa: Large- lines with visual instruction tuning. In Proceedings of the IEEE/CVF Conference Scale Simulation of Everyday Tasks for Generalist Robots. arXiv preprint on Computer Vision and Pattern Recognition. 26296-26306. arXiv:2406.02523 (2024). [98] Jianwei Liu, Maria Stamatopoulou, and Dimitrios Kanoulas. 2024. Dipper: [123] Haruki Nishimura, Jean Mercat, Blake Wulfe, Rowan Thomas McAllister, and Diffusion-based 2",medium,,
319,GenSim2: Scaling Robot Data Generation with Multi-modal and Reasoning LLMs,2024,Conference on Robot Learning,Conference on Robot Learning,derived from Venue/status/DOI metadata,medium,2410.03645,,2024-10-04,arXiv API published date,10.48550/arXiv.2410.03645,Semantic Scholar citation graph; OpenAIRE ScholeXplorer citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/cc2ce2d9843c937ff6336b110e4066002dc77332; https://dx.doi.org/10.48550/arxiv.2410.03645,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,GenSim2 compares generation frameworks including RoboCasa; no RoboCasa evaluation metric for its method found.,medium,,
320,GRS: Generating Robotic Simulation Tasks from Real-World Images,2024,2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),2025 IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),derived from Venue/status/DOI metadata,medium,2410.15536,,2024-10-20,arXiv API published date,10.1109/CVPRW67362.2025.00064,Semantic Scholar citation graph; OpenAIRE ScholeXplorer citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/8a30688a6d21bf7ed1eef4dd68c49674241d3ac4; https://doi.org/10.1109/cvprw67362.2025.00064,unclear/full-text-unavailable,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Full text unavailable from harvested sources.,low,,
321,"IDEA: Enhancing the Rule Learning Ability of Large Language Model Agent through Induction, Deduction, and Abduction",2024,Annual Meeting of the Association for Computational Linguistics,Annual Meeting of the Association for Computational Linguistics,derived from Venue/status/DOI metadata,medium,2408.10455,,2024-08-19,arXiv API published date,10.18653/v1/2025.findings-acl.698,OpenAlex term search: RoboCasa; Semantic Scholar citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,"https://openalex.org/W4402698554; OpenAlex: W4402698554, W4412888138",citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"chen Wang, Wenwen Jiang, Wes Bouaziz, Will Constable, Xiaocheng Tang, Xiaofang Wang, Xiao- Soroush Nasiriany, Abhiram Maddukuri, Lance Zhang, jian Wu, Xiaolan Wang, Xide Xia, Xilun Wu, Xinbo Adeet Parikh, Aaron Lo, Abhishek Joshi, Ajay Man- Gao, Yanjun Chen, Ye Hu, Ye Jia, Ye Qi, Yenda Li, dlekar, and Yuke Zhu. 2024. Robocasa: Large-scale Yilin Zhang, Ying Zhang, Yossi Adi, Youngjin Nam, simulation of everyday tasks for generalist robots. Yu, Wang, Yuchen Hao, Yundi Qian, Yuzi He, Zach Preprint, arXiv:2406.02523. Rait, Zachary DeVito, Zef Rosnbrick, Zhaoduo Wen, Zhenyu Yang, and Zhiwei Zhao. 2024. The llama 3 Qian Niu, Junyu Liu, Ziqian Bi, Pohsun Feng, herd of models. Preprint, arXiv:2407.2",medium,,
322,Kinetix: Investigating the Training of General Agents through Open-Ended Physics-Based Control Tasks,2024,International Conference on Learning Representations,International Conference on Learning Representations,derived from Venue/status/DOI metadata,medium,2410.23208,,2024-10-30,arXiv API published date,10.48550/arXiv.2410.23208,OpenAlex term search: RoboCasa; Semantic Scholar citation graph; OpenAIRE ScholeXplorer citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W4404343164; OpenAlex: W4404343164; https://dx.doi.org/10.48550/arxiv.2410.23208,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Kinetix mentions RoboCasa as related benchmark/context only.,medium,,
323,Lambda: A Benchmark for Data-Efficiency in Long-Horizon Indoor Mobile Manipulation Robotics,2024,IEEE/RJS International Conference on Intelligent RObots and Systems,IEEE/RJS International Conference on Intelligent RObots and Systems,derived from Venue/status/DOI metadata,medium,2412.05313,,2024-11-28,arXiv API published date,10.1109/IROS60139.2025.11246789,OpenAlex citation graph; OpenAlex term search: RoboCasa; Semantic Scholar citation graph; OpenAIRE ScholeXplorer citation graph,RoboCasa RSS DOI 10.15607/RSS.2024.XX.050; RoboCasa arXiv 2406.02523; term match,indexed-citation,"https://openalex.org/W4405252254; OpenAlex: W4405252254, W4416749360; https://doi.org/10.1109/iros60139.2025.11246789",citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Lambda benchmark comparison/background only; no RoboCasa experiment result.,medium,,
324,ManiSkill-HAB: A Benchmark for Low-Level Manipulation in Home Rearrangement Tasks,2024,International Conference on Learning Representations,International Conference on Learning Representations,derived from Venue/status/DOI metadata,medium,2412.13211,,2024-12-09,arXiv API published date,10.48550/arXiv.2412.13211,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/5c601530f798283890635475e80f57a5e5f69642,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,ManiSkill-HAB comparison/background only; no RoboCasa result.,medium,,
326,MegaSynth: Scaling Up 3D Scene Reconstruction with Synthesized Data,2024,Computer Vision and Pattern Recognition,Computer Vision and Pattern Recognition,derived from Venue/status/DOI metadata,medium,2412.14166,,2024-12-18,arXiv API published date,10.1109/CVPR52734.2025.01533,OpenAlex citation graph; OpenAlex term search: RoboCasa; Semantic Scholar citation graph; OpenAIRE ScholeXplorer citation graph,RoboCasa RSS DOI 10.15607/RSS.2024.XX.050; RoboCasa arXiv 2406.02523; term match,indexed-citation,"https://openalex.org/W4405627083; OpenAlex: W4405627083, W4413157410; https://doi.org/10.1109/cvpr52734.2025.01533",citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"eration image-text models. Advances in Neural Information [52] Soroush Nasiriany, Abhiram Maddukuri, Lance Zhang, Adeet Processing Systems, 35:25278-25294, 2022. Parikh, Aaron Lo, Abhishek Joshi, Ajay Mandlekar, and Yuke [62] Steven M Seitz, Brian Curless, James Diebel, Daniel Zhu. Robocasa: Large-scale simulation of everyday tasks for Scharstein, and Richard Szeliski. A comparison and eval- generalist robots. arXiv preprint arXiv:2406.02523, 2024. uation of multi-view stereo reconstruction algorithms. In 2006 IEEE computer society conference on computer vision [53] NVIDIA, Maciej Bala, Yin Cui, Yifan Ding, Yunhao Ge, and pattern recognition (CVPR'06), pages 519-528. IEEE, Zekun Hao, Jon Has",medium,,
327,Multi-Task Interactive Robot Fleet Learning with Visual World Models,2024,Conference on Robot Learning,Conference on Robot Learning (CoRL 2024),"arXiv comments: In Proceedings of CoRL 2024. PMLR page lists Proceedings of The 8th Conference on Robot Learning, PMLR 270:4286-4313, 2025, for this title.",high,2410.22689,,2024-10-30,"arXiv abs 2410.22689 submission history: [v1] Wed, 30 Oct 2024 04:49:39 UTC; page comments say In Proceedings of CoRL 2024.",10.48550/arXiv.2410.22689,OpenAlex term search: RoboCasa; Semantic Scholar citation graph; Semantic Scholar term search: RoboCasa; OpenAIRE ScholeXplorer citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W4404342596; OpenAlex: W4404342596; https://dx.doi.org/10.48550/arxiv.2410.22689,reports-results,rss24,50 demonstrations per task,"RoboCasa simulation Figure 6: autonomous policy average success improves from 0.272 (round 1) to 0.356 (round 2) to 0.403 (round 3). Combined Policy Performance reaches 0.948 in round 2 and 0.958 in round 3. RoboCasa normalized ROHE is 0.500, 0.644, 0.693 over rounds 1-3. Figure 7 baseline comparison (approx. read from bar plot): combined policy performance about MoMart 55%, PATO 87%, ThriftyDAgger 73%, Sirius-Fleet 95%; ROHE about 0.42, 0.52, 0.52, 0.69 respectively.",40.3,,,,,,,,,"Local text /tmp/robocasa_protocol_audit/txt/327_https_arxiv.org_pdf_2410.22689.txt, Figure 6 OCR lines 454-525 reports exact plotted labels for RoboCasa success and ROHE. Rendered PDF page 8 confirms Figure 6 labels and Figure 7 baseline bars. Setup lines 1427-1465 says RoboCasa uses 12 tasks, 50 trials/task, 2 seeds, average success across 600 trials.",medium,not-found,,"Official project page https://ut-austin-rpl.github.io/sirius-fleet/ links the official code repo https://github.com/UT-Austin-RPL/sirius-fleet.; Official GitHub README links RoboCasa and Mutex human-in-the-loop datasets, then gives training commands that generate local world_model.pth, classifier.pth, and policy checkpoints rather than providing pretrained checkpoint downloads.; Hugging Face search found official datasets https://huggingface.co/datasets/huihanl/sirius-fleet-robocasa and https://huggingface.co/datasets/huihanl/sirius-fleet-mutex; API listings showed HDF5 data files and no checkpoint-like model files. Notes: Code and HITL datasets are public, but no public checkpoints were found for the RoboCasa policy/world-model/anomaly-predictor results.",high,Reports RoboCasa task success rates for representation evaluation; selects 3 RoboCasa tasks and uses 50 demonstrations for each task.,high,otherwise,"Reports interactive fleet-learning results on a selected 12-task RoboCasa subset with runtime-monitoring metrics, not a standard full RoboCasa benchmark aggregate."
328,Neural Scaling Laws in Robotics,2024,arXiv (Cornell University),n/a,n/a,n/a,2405.14005,,2024-05-22,arXiv API published date,10.48550/arxiv.2405.14005,OpenAlex term search: RoboCasa; manual full-text audit,term match; manual full-text audit: cites RoboCasa RSS/original,manual-citation,https://openalex.org/W4398796281; OpenAlex: W4398796281,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Neural scaling laws paper cites RoboCasa as simulation/foundation-model context; no reported RoboCasa evaluation.,high,,
329,Opening Articulated Structures in the Real World,2024,preprint/unknown,n/a,n/a,n/a,2402.17767,,2024-02-27,arXiv API published date,,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/487836fef06b3f305893483034e11fd48efcb526,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"2015.7139624. ence on Artificial Intelligence, IJCAI-17, pages 4745- [58] Soroush Nasiriany, Abhiram Maddukuri, Lance Zhang, 4753, 2017. doi: 10.24963/ijcai.2017/661. URL https: Adeet Parikh, Aaron Lo, Abhishek Joshi, Ajay Man- //doi.org/10.24963/ijcai.2017/661. dlekar, and Yuke Zhu. RoboCasa: Large-scale simulation [49] Wim Meeussen, Melonee Wise, Stuart Glaser, Sachin of everyday tasks for generalist robots. In Robotics: Chitta, Conor McGann, Patrick Mihelich, Eitan Marder- Science and Systems (RSS), 2024. Eppstein, Marius Muja, Victor Eruhimov, Tully Foote, [59] Neil Nie, Samir Yitzhak Gadre, Kiana Ehsani, and Shu- John Hsu, Radu Bogdan Rusu, Bhaskara Marthi, Gary ran Song. Structure from",medium,,
330,PARTNR: A Benchmark for Planning and Reasoning in Embodied Multi-agent Tasks,2024,arXiv (Cornell University),n/a,n/a,n/a,2411.00081,,2024-10-31,arXiv API published date,10.48550/arxiv.2411.00081,OpenAlex term search: RoboCasa; OpenAIRE ScholeXplorer citation graph,term match; RoboCasa arXiv 2406.02523,indexed-citation,https://openalex.org/W4404344627; OpenAlex: W4404344627; https://dx.doi.org/10.48550/arxiv.2411.00081,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,PARTNR Table 1 compares benchmarks including RoboCasa; no PARTNR result on RoboCasa.,high,,
331,"Policy Learning from Tutorial Books via Understanding, Rehearsing and Introspecting",2024,Neural Information Processing Systems,Neural Information Processing Systems,derived from Venue/status/DOI metadata,medium,,,n/a,n/a,10.52202/079017-0600,Semantic Scholar citation graph; CORE term search: RoboCasa,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://www.semanticscholar.org/paper/82cbf4ce6db5c5d7ec6ffdbcfd3147e6c8f33df5; https://core.ac.uk/download/650325619.pdf,unclear/full-text-unavailable,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Full text unavailable from harvested sources.,low,,
332,Re-Mix: Optimizing Data Mixtures for Large Scale Imitation Learning,2024,Conference on Robot Learning,Conference on Robot Learning,derived from Venue/status/DOI metadata,medium,2408.14037,,2024-08-26,arXiv API published date,10.48550/arXiv.2408.14037,OpenAlex term search: RoboCasa; Semantic Scholar citation graph; OpenAIRE ScholeXplorer citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W4402701972; OpenAlex: W4402701972; https://dx.doi.org/10.48550/arxiv.2408.14037,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"r, R. Rafailov, E. Foster, G. Lam, P. Sanketi, Q. Vuong, T. Kollar, B. Burchfiel, R. Tedrake, D. Sadigh, S. Levine, P. Liang, and C. Finn. Openvla: An open-source vision-language-action model. arXiv preprint arXiv:2406.09246, 2024. [27] S. Nasiriany, A. Maddukuri, L. Zhang, A. Parikh, A. Lo, A. Joshi, A. Mandlekar, and Y. Zhu. Robocasa: Large-scale simulation of everyday tasks for generalist robots. In Robotics: Science and Systems (RSS), 2024. [28] S. M. Xie, H. Pham, X. Dong, N. Du, H. Liu, Y. Lu, P. S. Liang, Q. V. Le, T. Ma, and A. W. Yu. Doremi: Optimizing data mixtures speeds up language model pretraining. In A. Oh, T. Naumann, A. Globerson, K. Saenko, M. Hardt, and S. Levine, editors,",medium,,
333,RoboCasa: Large-Scale Simulation of Everyday Tasks for Generalist Robots,2024,CORE term search result,n/a,n/a,n/a,2406.02523,,2024-06-04,arXiv API published date,,CORE term search: RoboCasa,seed work itself; not a citing work,seed-work,http://arxiv.org/abs/2406.02523,seed-work,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboCasa seed paper itself; not a citing work.,high,,
334,RoboTron-Mani: All-in-One Multimodal Large Model for Robotic Manipulation,2024,IEEE International Conference on Computer Vision,IEEE/CVF International Conference on Computer Vision (ICCV 2025),arXiv page journal reference: Proceedings of the IEEE/CVF International Conference on Computer Vision 2025. DOI in input is 10.1109/ICCV51701.2025.01272; CVF open access page/PDF is for ICCV 2025.,high,2412.07215,,2024-12-10,"arXiv abs 2412.07215 submission history: [v1] Tue, 10 Dec 2024 06:11:59 UTC; latest v2 on 4 Nov 2025.",10.1109/ICCV51701.2025.01272,Semantic Scholar citation graph; OpenAlex citation graph,RoboCasa arXiv 2406.02523; RoboCasa RSS DOI 10.15607/RSS.2024.XX.050,indexed-citation,https://www.semanticscholar.org/paper/e520836218312a33a32cc92c11e16dd006c2a251; https://openalex.org/W7160114834; OpenAlex: W7160114834,reports-results,rss24,not reported,"RoboCasa success rate: RoboTron-Mani (ours) 47.4% in Table 1. Baselines in Table 1: RoboCasa 28.8%, RoboFlamingo* 15.6%, GR00T-N1-2B+IDM 40.9%. Data alignment Table 3 RoboCasa: RoboFlamingo*- 15.8%, RoboFlamingo* 15.6%, RoboTron-Mani- 27.0%, RoboTron-Mani 30.6%. Appendix Table 7 per-task RoboCasa success rates include CoffeePressButton 100%, CoffeeServeMug 50%, CoffeeSetupMug 25%, CloseDoubleDoor 30%, CloseSingleDoor 100%, OpenDoubleDoor 0%, OpenSingleDoor 45%, CloseDrawer 100%, OpenDrawer 80%, TurnOffMicrowave 75%, TurnOnMicrowave 85%, PnPCabToCounter 45%, PnPCounterToCab 50%, PnPCounterToMicrowave 35%, PnPCounterToSink 40%, PnPCounterToStove 60%, PnPMicrowaveToCounter 70%, PnPSinkToCounter 40%, PnPStoveToCounter 40%, TurnOffSinkFaucet 70%, TurnOnSinkFaucet 55%, TurnSinkSpout 90%, TurnOffStove 35%, TurnOnStove 55%, PrepareCoffee/ArrangeVegetables/MicrowaveThawing/RestockPantry/PreSoakPan all 0%.",47.4,,,40.9,GR00T-N1-2B+IDM,,,,,"Local text /tmp/robocasa_protocol_audit/txt/334_https_arxiv.org_pdf_2412.07215.txt, Table 1 lines 270-305 and discussion lines 355-365 report RoboCasa 47.4% and baselines. Table 3 lines 394-403 reports alignment ablation. Appendix Table 7 lines 1038-1105 reports per-task RoboCasa success rates.",high,not-found,,"Official project page https://robouniview.github.io/RoboMM.github.io/ links arXiv and code but no model weights.; Official GitHub repo https://github.com/EmbodiedAI-RoboTron/RoboTron-Mani links only the RoboData dataset and evaluates with a local ckpt argument; its TODO list still includes RoboMM model.; Official dataset https://huggingface.co/datasets/liufanfanlff/RoboData contains dataset parts and no checkpoint-like files; Hugging Face searches found no official RoboTron-Mani/RoboMM model repo tied to the RoboCasa 47.4 result. Notes: Training/inference code and RoboData are public, but the trained RoboTron-Mani/RoboMM policy checkpoint for the reported RoboCasa number was not found. Unrelated community RoboMM/StarVLA-style models are not tied to this tracked result.",high,"Table reports RoboCasa performance: RoboCasa baseline 28.8%, RoboFlamingo 15.6%, GR00T-N1-2B+IDM 40.9%, RoboTron-Mani 47.4%; demos per task not found. Merged duplicate row 336: Table reports RoboCasa performance: baseline 28.8%, RoboFlamingo 15.6%, GR00T-N1-2B+IDM 40.9%, RoboTron-Mani 47.4%; demos per task not found.",high,official-ish,"Reports standard RoboCasa RSS24-style benchmark success rates, including a 47.4% RoboTron-Mani average and per-task RoboCasa results."
335,Robot Learning with Super-Linear Scaling,2024,Robotics,Robotics,derived from Venue/status/DOI metadata,medium,2412.01770,,2024-12-02,arXiv API published date,10.48550/arXiv.2412.01770,Semantic Scholar citation graph; OpenAIRE ScholeXplorer citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/d0e66f776536bebd2d60986438a853dc4de9d29c; https://doi.org/10.15607/rss.2025.xxi.025,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"ts. IEEE Robotics and Automation manipulation behaviors without human intervention. In Letters, 2023. 2021 IEEE International Conference on Robotics and [25] S. Nasiriany, A. Maddukuri, L. Zhang, A. Parikh, A. Lo, Automation (ICRA), pages 6664-6671. IEEE, 2021. A. Joshi, A. Mandlekar, and Y. Zhu. Robocasa: Large- [12] H. Ha, P. Florence, and S. Song. Scaling up and scale simulation of everyday tasks for generalist robots. distilling down: Language-guided robot skill acquisition. In Robotics: Science and Systems (RSS), 2024. In Conference on Robot Learning, pages 3766-3777. [26] N. Nie, S. Y. Gadre, K. Ehsani, and S. Song. Structure PMLR, 2023. from action: Learning interactions for articulat",medium,,
337,Robots Pre-train Robots: Manipulation-Centric Robotic Representation from Large-Scale Robot Datasets,2024,International Conference on Learning Representations,International Conference on Learning Representations (ICLR 2025),ICLR proceedings page for exact title lists International Conference on Learning Representations 2025 (ICLR 2025) Conference.,high,2410.22325,1,2024-10-29,"arXiv abs 2410.22325 submission history: [v1] Tue, 29 Oct 2024 17:58:13 UTC; v2 on 30 Oct 2024.",10.48550/arXiv.2410.22325,Semantic Scholar citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/35f6d83bb69a8040069e8646c47101cc9c988c65,reports-results,rss24,50 demonstrations per task,"RoboCasa uses 3 tasks with 50 demonstrations/task. Table 7 per-task success (% mean ± SE): MCR (ours) CloseDrawer 99.3±1.2, CoffeeButtonPress 72.0±3.5, OpenSingleDoor 56.0±3.5; computed RoboCasa mean 75.8. Baselines computed means from Table 7: LfS 61.3 (85.3, 52.0, 46.7), MVP 61.3 (98.0, 52.7, 33.3), VC1 53.8 (98.7, 29.3, 33.3), R3M 61.6 (88.7, 47.3, 48.7), HRP 54.9 (91.3, 35.3, 38.0), R3M-Droid 61.8 (88.7, 51.3, 45.3).",75.8,,,61.8,R3M-Droid,,,,,"Local text /tmp/robocasa_protocol_audit/txt/337_https_arxiv.org_pdf_2410.22325.txt, protocol lines 185-224 says closed-loop success, at least 20 episodes, 3 seeds, and RoboCasa 3 tasks with 50 demos/task. Figure 6 lines 447-464 gives aggregate simulation plot. Appendix Table 7 lines 1165-1195 reports per-task RoboCasa values used to compute the means.",high,weight-but-not-for-number,,"Paper HTML says the evaluation freezes a visual encoder, trains a policy network with Behavior Cloning, executes policies closed loop, and reports the highest success rate over training across three seeds: https://arxiv.org/html/2410.22325; Paper HTML says RoboCasa used 3 selected tasks with 50 demonstrations per task following official training scripts, so the tracked 75.8 mean is produced by task-trained policies rather than by the released encoder alone: https://arxiv.org/html/2410.22325; Official project page links arXiv, Code, and Models, but does not list RoboCasa policy checkpoints: https://robots-pretrain-robots.github.io/; Official GitHub README says only pre-trained model checkpoints are available on Hugging Face and shows loading a downloaded encoder checkpoint with mcr.load_model: https://github.com/luccachiang/robots-pretrain-robots; Live Hugging Face API for GqJiang/robots-pretrain-robots lists only .gitattributes, README.md, mcr_resnet50.pth, and r3mdroid_resnet50.pth; lastModified is 2024-11-03T21:12:00Z.; HEAD metadata for https://huggingface.co/GqJiang/robots-pretrain-robots/resolve/main/mcr_resnet50.pth returned HTTP 200 with x-linked-size 94345861, confirming a real public encoder checkpoint without downloading it.; A shallow no-checkout clone of https://github.com/luccachiang/robots-pretrain-robots.git listed 28 repository paths and no files matching robocasa, checkpoint, ckpt, pth, policy, bc, or robomimic. Notes: Public weights exist for the related/base MCR and R3M-DROID ResNet encoders, but I found no public task policy checkpoints for the RoboCasa CloseDrawer, CoffeeButtonPress, or OpenSingleDoor BC-Transformer runs that produced the reported number.",high,Reports aggregate and RoboCasa success rates; selects 3 RoboCasa tasks and uses 50 demonstrations for each task following official training scripts.,high,otherwise,"Reports representation-evaluation success on only three selected RoboCasa tasks, not a comparable standard RSS24/RoboCasa365/GR1 benchmark aggregate."
338,RoboTwin: Dual-Arm Robot Benchmark with Generative Digital Twins (early version),2024,ECCV Workshops,ECCV Workshops,derived from Venue/status/DOI metadata,medium,2409.02920,,2024-09-04,arXiv API published date,10.48550/arXiv.2409.02920,OpenAlex citation graph; OpenAlex term search: RoboCasa; OpenCitations DOI graph; Semantic Scholar citation graph; OpenAIRE ScholeXplorer citation graph,RoboCasa RSS DOI 10.15607/RSS.2024.XX.050; RoboCasa arXiv 2406.02523; term match,indexed-citation,"https://openalex.org/W4403160569; OpenAlex: W4403160569, W4410706720; https://doi.org/10.1007/978-3-031-91813-1_17",citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoboTwin comparison/background mention; no RoboCasa result.,medium,,
339,RoVi-Aug: Robot and Viewpoint Augmentation for Cross-Embodiment Robot Learning,2024,Conference on Robot Learning,Conference on Robot Learning,derived from Venue/status/DOI metadata,medium,2409.03403,,2024-09-05,arXiv API published date,10.48550/arXiv.2409.03403,OpenAlex term search: RoboCasa; Semantic Scholar citation graph; OpenAIRE ScholeXplorer citation graph,RoboCasa arXiv 2406.02523; term match,indexed-citation,https://openalex.org/W4403585673; OpenAlex: W4403585673; https://dx.doi.org/10.48550/arxiv.2409.03403,citation-only,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,RoVi-Aug citation/background mention; no RoboCasa result.,medium,,
340,STRAP: Robot Sub-Trajectory Retrieval for Augmented Policy Learning,2024,International Conference on Learning Representations,International Conference on Learning Representations,derived from Venue/status/DOI metadata,medium,2412.15182,,2024-12-19,arXiv API published date,10.48550/arXiv.2412.15182,Semantic Scholar citation graph; OpenAIRE ScholeXplorer citation graph,RoboCasa arXiv 2406.02523,indexed-citation,https://www.semanticscholar.org/paper/c0c9da2b9862d53da279dbf2b55954bfed0a2eb0; https://dx.doi.org/10.48550/arxiv.2412.15182,uses-data-no-results,n/a,n/a,n/a,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Uses RoboCasa-related subtrajectory/policy-learning context but no RoboCasa metric found.,medium,,
