ID,Candidate work,Year,Venue/status,Accepted venue,Accepted venue evidence,Accepted venue confidence,arXiv,First arXiv date,First arXiv date evidence,DOI,Found via,Cited seed(s) / match reason,Status,Link/notes,LIBERO usage,Evaluation protocol,Demos per task,Reported benchmark numbers,Spatial,Object,Goal,Long/10,Spatial previous SOTA success rate,Spatial previous SOTA name,Object previous SOTA success rate,Object previous SOTA name,Goal previous SOTA success rate,Goal previous SOTA name,Long/10 previous SOTA success rate,Long/10 previous SOTA name,Reported numbers evidence,Reported numbers confidence,Reported-number weights availability,Reported-number weights URL,Reported-number weights evidence,Reported-number weights confidence,Usage evidence,Usage confidence,Official-ish protocol,Official-ish protocol reason
879,C ONFIDENCE C ALIBRATION IN V ISION -L ANGUAGE -A CTION M ODELS,,preprint/unknown,n/a,n/a,n/a,,n/a,n/a,,Semantic Scholar citation graph: arXiv 2306.03310,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).,indexed-citation,https://www.semanticscholar.org/paper/6cf8c054b6a2d507708a2e1d85798a5501c729ac; audit note: duplicate/stub of ID 162; not counted separately,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Duplicate or OCR-spaced metadata stub for canonical ID 162; retained for source-audit coverage and not counted separately.,high,,
880,Early Fusion Helps Vision Language Action Models Generalize Better,2024,OpenReview / ICLR 2025 submission,n/a,n/a,n/a,,n/a,n/a,,Semantic Scholar citation graph: arXiv 2306.03310,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).,indexed-citation,https://www.semanticscholar.org/paper/235067cb5194203cb232871ce276315acaf42156; OpenReview https://openreview.net/forum?id=KBSHR4h8XV,reports-results,spatial; object; goal; other,not reported,"Table 1 reports EF-VLA: Spatial 71, Object 64, Goal 73, Unseen 59.",71,64,73,,,,,,,,,,"OpenReview PDF https://openreview.net/pdf?id=KBSHR4h8XV, Table 1.",high,unclear,,No result-producing checkpoint was verified in this audit.,medium,"OpenReview PDF https://openreview.net/pdf?id=KBSHR4h8XV, Table 1.",high,,
881,Efficient and Scalable Diffusion Transformer Policies with Mixture of Expert Denoisers for Multitask Learning,,preprint/unknown,n/a,n/a,n/a,,n/a,n/a,,Semantic Scholar citation graph: arXiv 2306.03310,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).,indexed-citation,https://www.semanticscholar.org/paper/994472682b4b3e1a7b264ba6720bd95a917afe83; audit note: duplicate/stub of ID 44; not counted separately,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Duplicate or OCR-spaced metadata stub for canonical ID 44; retained for source-audit coverage and not counted separately.,high,,
882,Let’s Talk About Language! Investigating Linguistic Diversity in Embodied AI Datasets,2025,ICRA-Safe-VLM-WS-2025 Oral,n/a,n/a,n/a,,n/a,n/a,,Semantic Scholar citation graph: arXiv 2306.03310,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).,indexed-citation,https://www.semanticscholar.org/paper/c2eb605f951ece83122d46edfdb838ce9dc4d6f3; OpenReview https://openreview.net/forum?id=wWWKPNz6GJ,reports-results,long-10; other,not reported,OpenReview PDF reports OpenVLA LIBERO-10 success 0.66 on original tasks and 0.3168 on paraphrased variants.,,,,,,,,,,,,,OpenReview PDF https://openreview.net/pdf?id=wWWKPNz6GJ.,high,unclear,,No result-producing checkpoint was verified in this audit.,medium,OpenReview PDF https://openreview.net/pdf?id=wWWKPNz6GJ.,high,,
883,Parameter-efficient Tuning of Pretrained Visual-Language Models in Multitask Robot Learning,2023,CoRL 2023 LEAP workshop paper,n/a,n/a,n/a,,n/a,n/a,,Semantic Scholar citation graph: arXiv 2306.03310,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).,indexed-citation,https://www.semanticscholar.org/paper/e4574125e32f9b1bf8e9a9879d4ff2d11c067396; OpenReview https://openreview.net/forum?id=UsY1YvsPzK,reports-results,spatial; object; goal; long-10,not reported,"Table 1 reports parameter-efficient tuning on LIBERO: Spatial 87.0, Object 90.0, Goal 85.0, Long 63.0.",87.0,90.0,85.0,63.0,,,,,,,,,"OpenReview PDF https://openreview.net/pdf?id=UsY1YvsPzK, Table 1.",high,unclear,,No result-producing checkpoint was verified in this audit.,medium,"OpenReview PDF https://openreview.net/pdf?id=UsY1YvsPzK, Table 1.",high,,
884,S O F AR : Language-Grounded Orientation Bridges Spatial Reasoning and Object Manipulation,,preprint/unknown,n/a,n/a,n/a,,n/a,n/a,,Semantic Scholar citation graph: arXiv 2306.03310,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).,indexed-citation,https://www.semanticscholar.org/paper/0b616c59f7f7bc92c0b2af4c6253124c4c1e7bfb; audit note: duplicate/stub of ID 434; not counted separately,term-only-not-counted,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,Duplicate or OCR-spaced metadata stub for canonical ID 434; retained for source-audit coverage and not counted separately.,high,,
885,SPUR: Scaling Reward Learning from Human Demonstrations,2025,NeurIPS 2025 Workshop EWM,n/a,n/a,n/a,,n/a,n/a,,Semantic Scholar citation graph: arXiv 2306.03310,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).,indexed-citation,https://www.semanticscholar.org/paper/a06f31a5ebcae96a87c311f8cf0e527f3e06d10f; OpenReview https://openreview.net/forum?id=DHLWZhzUwh,reports-results,spatial; object; goal; long-10; other,not reported,"Table 2 reports SPUR reward/preference metrics on LIBERO, not policy success suite aggregates.",,,,,,,,,,,,,"OpenReview PDF https://openreview.net/pdf?id=DHLWZhzUwh, Table 2.",high,unclear,,No result-producing checkpoint was verified in this audit.,medium,"OpenReview PDF https://openreview.net/pdf?id=DHLWZhzUwh, Table 2.",high,,
886,TAMPering with RLBench: Enabling joint developments in Task and Motion Planning and Reinforcement Learning research,2024,LEAP 2024 Poster,n/a,n/a,n/a,,n/a,n/a,,Semantic Scholar citation graph: arXiv 2306.03310,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).,indexed-citation,https://www.semanticscholar.org/paper/ef9187616358e998cf5cdefaa65df9f3156c848c; OpenReview PDF https://openreview.net/pdf/8fc5b4f9270aeb08fd7e686b17afef675878bd3f.pdf,citation-only,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,OpenReview PDF https://openreview.net/pdf/8fc5b4f9270aeb08fd7e686b17afef675878bd3f.pdf discusses LIBERO as a related benchmark/simulator but reports no LIBERO evaluation.,high,,
887,Task Robustness via Re-Labelling Vision-Action Robot Data,2025,CoRL 2025 Robot Data Workshop,n/a,n/a,n/a,,n/a,n/a,,Semantic Scholar citation graph: arXiv 2306.03310,Semantic Scholar says this work cites the LIBERO seed paper (arXiv 2306.03310).,indexed-citation,https://www.semanticscholar.org/paper/edf7b94e49bb03912cfb416cd5e5841720beda3b; OpenReview https://openreview.net/forum?id=M6M5W0lmaY,reports-results,long-10; other,50 human-teleoperated demonstrations per LIBERO-100 task,Table 1 reports task-robustness/re-labelling results on LIBERO-Long variants under a custom protocol rather than standard suite columns.,,,,,,,,,,,,,"OpenReview PDF https://openreview.net/pdf?id=M6M5W0lmaY, Table 1.",high,unclear,,No result-producing checkpoint was verified in this audit.,medium,"OpenReview PDF https://openreview.net/pdf?id=M6M5W0lmaY, Table 1.",high,,
888,Tracking and Control of Multiple Objects During Nonprehensile Manipulation in Clutter,2025,IEEE Transactions on Robotics,IEEE Transactions on Robotics,"Crossref DOI metadata for https://doi.org/10.1109/TRO.2025.3577437 lists IEEE Transactions on Robotics, 2025.",high,,n/a,n/a,10.1109/TRO.2025.3577437,"CORE term search: ""2306.03310""; CORE term search: ""LIBERO benchmark"" robot","CORE full-text/metadata term match for '""2306.03310""'; manual citation audit required.; CORE full-text/metadata term match for '""LIBERO benchmark"" robot'; manual citation audit required.",manual-citation,"https://core.ac.uk/download/656961389.pdf; https://core.ac.uk/image/656961389/large; https://core.ac.uk/reader/656961389; https://core.ac.uk/works/290072419; https://eprints.whiterose.ac.uk/id/eprint/227494/1/xu2025tracking.pdf; audit note: DOI: 10.1109/TRO.2025.3577437. The manual citation is confirmed by the reference list, but LIBERO is not used as a benchmark.",citation-only,n/a,n/a,n/a,,,,,,,,,,,,,n/a,n/a,n/a,,n/a,n/a,"Public PDF from White Rose https://eprints.whiterose.ac.uk/id/eprint/227494/1/xu2025tracking.pdf reports object pose tracking and nonprehensile manipulation experiments; LIBERO appears only in a reference to the seed paper, with no LIBERO benchmark evaluation.",high,,
889,One Token Per Frame: Reconsidering Visual Bandwidth in World Models for VLA Policy,2026,ArXiv.org,n/a,n/a,n/a,2605.07931,2026-05-08,row-level public-source audit,10.48550/arxiv.2605.07931,manual public-source re-audit on 2026-05-11; arXiv/OpenAlex/term-search LIBERO miss review,Manual audit confirmed LIBERO benchmark usage/result reporting against the LIBERO seed context.,manual-citation,https://arxiv.org/abs/2605.07931; https://arxiv.org/pdf/2605.07931,reports-results,spatial; object; goal; long-10,not reported,"Reports original LIBERO success rates: Spatial 98.2, Object 99.6, Goal 99.0, Long 95.6, Avg 98.1.",98.2,99.6,99.0,95.6,98.8,pi0.5,98.8,pi0,98.0,pi0.5,92.4,pi0.5,"arXiv 2605.07931 reports original LIBERO suite results; arXiv audit extracted 98.2/99.6/99.0/95.6, Avg 98.1.",high,unclear,,Reported-number weight/checkpoint audit not yet performed for this newly added result row.,low,"arXiv 2605.07931 reports original LIBERO suite results; arXiv audit extracted 98.2/99.6/99.0/95.6, Avg 98.1.",high,official-ish,Reports standard original LIBERO Spatial/Object/Goal/Long success rates.
890,Sword: Style-Robust World Models as Simulators via Dynamic Latent Bootstrapping for VLA Policy Post-Training,2026,ArXiv.org,n/a,n/a,n/a,2605.07288,2026-05-08,row-level public-source audit,10.48550/arxiv.2605.07288,manual public-source re-audit on 2026-05-11; arXiv/OpenAlex/term-search LIBERO miss review,Manual audit confirmed LIBERO benchmark usage/result reporting against the LIBERO seed context.,manual-citation,https://arxiv.org/abs/2605.07288; https://arxiv.org/pdf/2605.07288,reports-results,spatial; other,"1,500 LIBERO-Spatial rollout episodes for training and 100 for evaluation; each episode has 512 frames; not standard per-task demonstrations","Table 3 reports OpenVLA-OFT GRPO policy success on LIBERO-Spatial using the Sword simulator: Ours 61.72% vs WoVR 53.12% at step 172. Tables 1-2 report generation metrics. Custom world-model post-training protocol, so standard suite columns are blank.",,,,,53.12,WoVR,,,,,,,"arXiv PDF https://arxiv.org/pdf/2605.07288, Secs. 4.1/4.5 and Table 3.",high,unclear,,Reported-number weight/checkpoint audit not yet performed for this newly added result row.,low,"arXiv PDF https://arxiv.org/pdf/2605.07288, Secs. 4.1/4.5 and Table 3, uses LIBERO-Spatial rollouts and reports policy success after GRPO post-training.",high,otherwise,Reports a custom LIBERO-Spatial world-model simulator and GRPO post-training setup rather than a normal official-suite evaluation.
891,Predictive but Not Plannable: RC-aux for Latent World Models,2026,ArXiv.org,n/a,n/a,n/a,2605.07278,2026-05-08,row-level public-source audit,10.48550/arxiv.2605.07278,manual public-source re-audit on 2026-05-11; arXiv/OpenAlex/term-search LIBERO miss review,Manual audit confirmed LIBERO benchmark usage/result reporting against the LIBERO seed context.,manual-citation,https://arxiv.org/abs/2605.07278; https://arxiv.org/pdf/2605.07278,reports-results,goal; other,50 evaluation episodes per LIBERO-Goal task; maximum horizon 600 steps; training demonstrations not reported,"Appendix D Table 8 reports RC-aux mean success 0.812 in the trainable no-repeat setting and 0.864 in the repeat-tuned setting on the LIBERO-Goal extension. Appendix C Table 7 gives the OFT-style transfer protocol. Custom protocol, so standard suite columns are blank.",,,,,,,,,97.0,OpenVLA-OFT 7B,,,"arXiv PDF https://arxiv.org/pdf/2605.07278, Appendix C Table 7 and Appendix D Table 8.",high,unclear,,Reported-number weight/checkpoint audit not yet performed for this newly added result row.,low,"arXiv PDF https://arxiv.org/pdf/2605.07278, Sec. 4.5, Appendix C Table 7, and Appendix D Table 8, reports LIBERO-Goal extension results.",high,official-ish,"Recheck evidence: Appendix C says the LIBERO-Goal extension evaluates all 10 LIBERO-Goal tasks using the official success checker with 50 evaluation episodes per task and a 600-step maximum horizon. Table 8 reports per-task success rates and means, including RC-aux trainable no-repeat at 0.812 and repeat-tuned at 0.864. The OFT-style action head and repeat/no-repeat choices are model/training settings; the original Goal suite task-success result is present. Sources: https://arxiv.org/abs/2605.07278; https://arxiv.org/pdf/2605.07278; https://github.com/Lifelong-Robot-Learning/LIBERO."
892,OA-WAM: Object-Addressable World Action Model for Robust Robot Manipulation,2026,ArXiv.org,n/a,n/a,n/a,2605.06481,2026-05-07,row-level public-source audit,10.48550/arxiv.2605.06481,manual public-source re-audit on 2026-05-11; arXiv/OpenAlex/term-search LIBERO miss review,Manual audit confirmed LIBERO benchmark usage/result reporting against the LIBERO seed context.,manual-citation,https://arxiv.org/abs/2605.06481; https://arxiv.org/pdf/2605.06481; https://doi.org/10.48550/arxiv.2605.06481,reports-results,spatial; object; goal; long-10; other,not reported,"Table 1 reports OA-WAM original LIBERO success rates: Spatial 98.9, Object 99.0, Goal 97.4, Long 95.9, Avg 97.8. The paper also reports LIBERO-Plus robustness results.",98.9,99.0,97.4,95.9,98.8,pi0.5,99.6,VLA-JEPA,98.0,pi0.5,96.8,VITA,"arXiv PDF https://arxiv.org/pdf/2605.06481, Table 1.",high,unclear,,Reported-number weight/checkpoint audit not yet performed for this newly added result row.,low,"arXiv PDF https://arxiv.org/pdf/2605.06481, Table 1.",high,official-ish,Reports standard LIBERO Spatial/Object/Goal/Long success rates and also reports LIBERO-Plus robustness results.
893,PRTS: A Primitive Reasoning and Tasking System via Contrastive Representations,2026,ArXiv.org,n/a,n/a,n/a,2604.27472,2026-04-30,row-level public-source audit,10.48550/arxiv.2604.27472,manual public-source re-audit on 2026-05-11; arXiv/OpenAlex/term-search LIBERO miss review,Manual audit confirmed LIBERO benchmark usage/result reporting against the LIBERO seed context.,manual-citation,https://arxiv.org/abs/2604.27472; https://arxiv.org/pdf/2604.27472; https://rhodes-team-prts.github.io/; https://github.com/TeleHuman/PRTS; https://huggingface.co/TeleEmbodied/PRTS-4B,reports-results,spatial; object; goal; long-10; other,not reported,"Table 2 reports PRTS original LIBERO success rates: Spatial 98.8, Object 99.8, Goal 98.4, Long 96.6, Avg 98.4. The paper also reports LIBERO-Plus and LIBERO-Pro.",98.8,99.8,98.4,96.6,98.8,"pi0.5 / ABot-M0 (bs=64, 40K steps)",99.8,"ABot-M0 (bs=64, 40K steps)",99.0,"ABot-M0 (bs=64, 40K steps)",97.6,X-VLA,"arXiv PDF https://arxiv.org/pdf/2604.27472, Table 2.",high,weight-but-not-for-number,,"Official PRTS code and Hugging Face model are public, but the GitHub README says exact post-trained checkpoints behind Tables 1-4 are not yet released. Sources: https://huggingface.co/TeleEmbodied/PRTS-4B and https://github.com/TeleHuman/PRTS.",high,"arXiv PDF https://arxiv.org/pdf/2604.27472, Table 2.",high,official-ish,"Reports standard LIBERO four-suite success rates, with additional LIBERO-Plus and LIBERO-Pro evaluations."
894,ProGAL-VLA: Grounded Alignment through Prospective Reasoning in Vision-Language-Action Models,2026,ArXiv.org,n/a,n/a,n/a,2604.09824,2026-04-10,row-level public-source audit,10.48550/arxiv.2604.09824,manual public-source re-audit on 2026-05-11; arXiv/OpenAlex/term-search LIBERO miss review,Manual audit confirmed LIBERO benchmark usage/result reporting against the LIBERO seed context.,manual-citation,https://arxiv.org/abs/2604.09824; https://arxiv.org/pdf/2604.09824,reports-results,other,not reported,Reports LIBERO-Plus robustness rather than original suite aggregates; Table 2 reports ProGAL-VLA total 85.5 and robot perturbation 71.5% versus 30.3% for a baseline.,,,,,,,,,,,,,"arXiv PDF https://arxiv.org/pdf/2604.09824, Table 2 LIBERO-Plus robustness results.",high,unclear,,Reported-number weight/checkpoint audit not yet performed for this newly added result row.,low,"arXiv PDF https://arxiv.org/pdf/2604.09824, Table 2 LIBERO-Plus robustness results.",high,otherwise,Reports LIBERO-Plus robustness and a custom ambiguity benchmark rather than standard LIBERO suite success rates.
895,TAG: Target-Agnostic Guidance for Stable Object-Centric Inference in Vision-Language-Action Models,2026,ArXiv.org,n/a,n/a,n/a,2603.24584,2026-03-25,row-level public-source audit,10.48550/arxiv.2603.24584,manual public-source re-audit on 2026-05-11; arXiv/OpenAlex/term-search LIBERO miss review,Manual audit confirmed LIBERO benchmark usage/result reporting against the LIBERO seed context.,manual-citation,https://arxiv.org/abs/2603.24584; https://arxiv.org/pdf/2603.24584,reports-results,spatial; object; goal; long-10; other,not reported,"Table 1 reports pi0.5 + TAG-bg original LIBERO success rates: Spatial 97.8, Object 99.2, Goal 97.4, Long 97.0, Avg 97.9. The paper also reports TAG-black 97.6/99.8/97.4/95.8 and LIBERO-Plus variants.",97.8,99.2,97.4,97.0,98.0,InternVLA-M1,99.0,InternVLA-M1,97.5,GR00T-N1.6,94.4,GR00T-N1.6,"arXiv PDF https://arxiv.org/pdf/2603.24584, Table 1.",high,unclear,,Reported-number weight/checkpoint audit not yet performed for this newly added result row.,low,"arXiv PDF https://arxiv.org/pdf/2603.24584, Table 1.",high,official-ish,Reports standard LIBERO Spatial/Object/Goal/Long success rates and also reports LIBERO-Plus robustness.
896,Do World Action Models Generalize Better than VLAs? A Robustness Study,2026,ArXiv.org,n/a,n/a,n/a,2603.22078,2026-03-23,row-level public-source audit,10.48550/arxiv.2603.22078,manual public-source re-audit on 2026-05-11; arXiv/OpenAlex/term-search LIBERO miss review,Manual audit confirmed LIBERO benchmark usage/result reporting against the LIBERO seed context.,manual-citation,https://arxiv.org/abs/2603.22078; https://arxiv.org/pdf/2603.22078,reports-results,other,not reported,"Reports LIBERO-Plus robustness, not original suite leaderboard columns. LIBERO-Plus Total examples: pi0.5 85.7, Cosmos-Policy 82.2, GE-Act 80.3, VLA-JEPA 77.9, Fast-WAM 51.5. Original clean LIBERO examples include Cosmos-Policy 98.5, Fast-WAM 97.6, pi0.5 96.9.",,,,,,,,,,,,,"arXiv PDF https://arxiv.org/pdf/2603.22078, LIBERO-Plus robustness tables.",high,unclear,,Reported-number weight/checkpoint audit not yet performed for this newly added result row.,low,"arXiv PDF https://arxiv.org/pdf/2603.22078, LIBERO-Plus robustness tables.",high,official-ish,Includes a standard clean LIBERO result alongside LIBERO-Plus robustness results.
897,Global Prior Meets Local Consistency: Dual-Memory Augmented Vision-Language-Action Model for Efficient Robotic Manipulation,2026,ArXiv.org,n/a,n/a,n/a,2602.20200,2026-02-22,row-level public-source audit,10.48550/arxiv.2602.20200,manual public-source re-audit on 2026-05-11; arXiv/OpenAlex/term-search LIBERO miss review,Manual audit confirmed LIBERO benchmark usage/result reporting against the LIBERO seed context.,manual-citation,https://arxiv.org/abs/2602.20200; https://arxiv.org/pdf/2602.20200; https://doi.org/10.48550/arxiv.2602.20200,reports-results,spatial; object; goal; long-10,500 rollouts per suite,"Table 1 reports OptimusVLA success rates: Spatial 99.6, Object 99.8, Goal 98.4, Long 96.4, Avg 98.6.",99.6,99.8,98.4,96.4,98.8,pi0.5,98.8,UniVLA / pi0,98.0,pi0.5,94.5,OpenVLA-OFT,"arXiv PDF https://arxiv.org/pdf/2602.20200, Table 1; text states average success rate over Spatial/Object/Goal/Long with 500 rollouts.",high,unclear,,Reported-number weight/checkpoint audit not yet performed for this newly added result row.,low,"arXiv PDF https://arxiv.org/pdf/2602.20200, Table 1; text states average success rate over Spatial/Object/Goal/Long with 500 rollouts.",high,official-ish,Reports standard LIBERO suite success rates under the usual success-rate evaluation.
898,VLANeXt: Recipes for Building Strong VLA Models,2026,ArXiv.org,n/a,n/a,n/a,2602.18532,2026-02-20,row-level public-source audit,10.48550/arxiv.2602.18532,manual public-source re-audit on 2026-05-11; arXiv/OpenAlex/term-search LIBERO miss review,Manual audit confirmed LIBERO benchmark usage/result reporting against the LIBERO seed context.,manual-citation,https://arxiv.org/abs/2602.18532; https://arxiv.org/pdf/2602.18532,reports-results,spatial; object; goal; long-10; other,"50 expert demonstrations per task for standard LIBERO; LIBERO-Plus reports 10,030 demonstrations across the four suites, not a per-task count.","Table 2 reports VLANeXt original LIBERO success rates: Spatial 99.0, Object 99.2, Goal 96.6, Long 94.6, Avg 97.4. The paper also reports LIBERO-Plus Avg 80.1.",99.0,99.2,96.6,94.6,97.6,OpenVLA-OFT,99.1,FLOWER,97.9,OpenVLA-OFT,94.9,FLOWER,"arXiv PDF https://arxiv.org/pdf/2602.18532, Table 2.",high,number-associated weight available,https://huggingface.co/DravenALG/VLANeXt,"Project page and Hugging Face repo include VLANeXt_libero_spatial.pt, VLANeXt_libero_object.pt, VLANeXt_libero_goal.pt, and VLANeXt_libero_10.pt. Sources: https://dravenalg.github.io/VLANeXt/ and https://huggingface.co/DravenALG/VLANeXt.",high,"arXiv PDF https://arxiv.org/pdf/2602.18532, Table 2.",high,official-ish,"Reports standard LIBERO four-suite success rates, with additional LIBERO-Plus results."
899,HBVLA: Pushing 1-Bit Post-Training Quantization for Vision-Language-Action Models,2026,ArXiv.org,n/a,n/a,n/a,2602.13710,2026-02-14,row-level public-source audit,10.48550/arxiv.2602.13710,manual public-source re-audit on 2026-05-11; arXiv/OpenAlex/term-search LIBERO miss review,Manual audit confirmed LIBERO benchmark usage/result reporting against the LIBERO seed context.,manual-citation,https://arxiv.org/abs/2602.13710; https://arxiv.org/pdf/2602.13710; https://doi.org/10.48550/arxiv.2602.13710,reports-results,spatial; object; goal; long-10,not reported,"Table 2 reports HBVLA on OpenVLA-OFT: Spatial 89.3, Object 97.8, Goal 91.3, Long 82.7, Avg 90.3. It also reports HBVLA on OpenVLA: 78.2/81.5/73.6/46.8, Avg 70.0.",89.3,97.8,91.3,82.7,87.2,HBLLM on OpenVLA-OFT,76.0,HBLLM on OpenVLA-OFT,89.6,HBLLM on OpenVLA-OFT,62.0,HBLLM on OpenVLA-OFT,"arXiv PDF https://arxiv.org/pdf/2602.13710, Table 2.",high,unclear,,Reported-number weight/checkpoint audit not yet performed for this newly added result row.,low,"arXiv PDF https://arxiv.org/pdf/2602.13710, Table 2.",high,official-ish,Reports standard LIBERO Spatial/Object/Goal/Long success rates for quantized VLA models.
900,Concept-Based Dictionary Learning for Inference-Time Safety in Vision Language Action Models,2026,ArXiv.org,n/a,n/a,n/a,2602.01834,2026-02-02,row-level public-source audit,10.48550/arxiv.2602.01834,manual public-source re-audit on 2026-05-11; arXiv/OpenAlex/term-search LIBERO miss review,Manual audit confirmed LIBERO benchmark usage/result reporting against the LIBERO seed context.,manual-citation,https://arxiv.org/abs/2602.01834; https://arxiv.org/pdf/2602.01834,reports-results,other,not reported,"Introduces/reports Libero-Harm, a LIBERO-derived inference-time safety setting; not a standard Spatial/Object/Goal/Long success-rate row.",,,,,,,,,,,,,arXiv 2602.01834 audit; Libero-Harm LIBERO-derived safety evaluation.,high,unclear,,Reported-number weight/checkpoint audit not yet performed for this newly added result row.,low,arXiv 2602.01834 audit; Libero-Harm LIBERO-derived safety evaluation.,high,otherwise,Reports a LIBERO-derived safety setting rather than normal standard-suite task-success evaluation.
901,GSR: Learning Structured Reasoning for Embodied Manipulation,2026,ArXiv.org,n/a,n/a,n/a,2602.01693,2026-02-02,row-level public-source audit,10.48550/arxiv.2602.01693,manual public-source re-audit on 2026-05-11; arXiv/OpenAlex/term-search LIBERO miss review,Manual audit confirmed LIBERO benchmark usage/result reporting against the LIBERO seed context.,manual-citation,https://arxiv.org/abs/2602.01693; https://arxiv.org/pdf/2602.01693; https://doi.org/10.48550/arxiv.2602.01693,reports-results,spatial; object; goal; long-10; other,10 trials per task; 100 tasks across subsets,"Table III reports GSR-8B: Object 86.50, Spatial 89.20, Goal 81.00, Short 85.00, Long 82.40. Short is retained only in reported numbers, not the four suite columns.",89.2,86.5,81.0,82.4,88.0,Claude-sonnet-4-5,87.0,Gemini-2.5-pro,74.0,Gemini-2.5-pro / Claude-sonnet-4-5,68.0,Gemini-2.5-pro,"arXiv PDF https://arxiv.org/pdf/2602.01693, Table III and evaluation text.",high,unclear,,Reported-number weight/checkpoint audit not yet performed for this newly added result row.,low,"arXiv PDF https://arxiv.org/pdf/2602.01693, Table III and evaluation text.",high,otherwise,"Reports LIBERO suite numbers through a scene-graph and high-level-control planner wrapper, not a standard policy benchmark protocol."
902,IVRA: Improving Visual-Token Relations for Robot Action Policy with Training-Free Hint-Based Guidance,2026,ArXiv.org,n/a,n/a,n/a,2601.16207,2026-01-22,row-level public-source audit,10.48550/arxiv.2601.16207,manual public-source re-audit on 2026-05-11; arXiv/OpenAlex/term-search LIBERO miss review,Manual audit confirmed LIBERO benchmark usage/result reporting against the LIBERO seed context.,manual-citation,https://arxiv.org/abs/2601.16207; https://arxiv.org/pdf/2601.16207,reports-results,spatial; object; goal; long-10; libero-90,not reported,"Table II reports OpenVLA+IVRA and FLOWER+IVRA. OpenVLA+IVRA: Spatial 85.5, Object 89.6, Goal 81.2, Long 54.2, Avg 77.6. FLOWER+IVRA: Spatial 97.3, Object 99.9, Goal 97.6, Long 94.9, Avg 97.1; FLOWER comparison also reports LIBERO-90.",97.3,99.9,97.6,94.9,97.2,FLOWER,99.3,FLOWER,96.9,FLOWER,94.5,FLOWER,"arXiv PDF https://arxiv.org/pdf/2601.16207, Table II.",high,unclear,,Reported-number weight/checkpoint audit not yet performed for this newly added result row.,low,"arXiv PDF https://arxiv.org/pdf/2601.16207, Table II.",high,official-ish,"Reports standard LIBERO Spatial, Object, Goal, and Long success rates, with an additional LIBERO-90 comparison."
903,Value Vision-Language-Action Planning & Search,2026,ArXiv.org,n/a,n/a,n/a,2601.00969,2026-01-02,row-level public-source audit,10.48550/arxiv.2601.00969,manual public-source re-audit on 2026-05-11; arXiv/OpenAlex/term-search LIBERO miss review,Manual audit confirmed LIBERO benchmark usage/result reporting against the LIBERO seed context.,manual-citation,https://arxiv.org/abs/2601.00969; https://arxiv.org/pdf/2601.00969; https://doi.org/10.48550/arxiv.2601.00969,reports-results,spatial; object,not reported,"Table 2 reports only LIBERO Spatial and Object. V-VLAPS suite-specialist rows: Spatial 87.2 and Object 82.6; V-VLAPS both row: Spatial 85.8, Object 77.6.",87.2,82.6,,,82.0,VLAPS,79.8,VLAPS,,,,,"arXiv PDF https://arxiv.org/pdf/2601.00969, Table 2; text states only Spatial and Object were tested due to constraints.",high,unclear,,Reported-number weight/checkpoint audit not yet performed for this newly added result row.,low,"arXiv PDF https://arxiv.org/pdf/2601.00969, Table 2; text states only Spatial and Object were tested due to constraints.",high,otherwise,"Uses an MCTS planning wrapper around a fixed VLA, which is not the normal official policy-evaluation protocol."
904,VAT: Vision Action Transformer by Unlocking Full Representation of ViT,2025,ArXiv.org,n/a,n/a,n/a,2512.06013,2025-12-03,row-level public-source audit,10.48550/arxiv.2512.06013,manual public-source re-audit on 2026-05-11; arXiv/OpenAlex/term-search LIBERO miss review,Manual audit confirmed LIBERO benchmark usage/result reporting against the LIBERO seed context.,manual-citation,https://arxiv.org/abs/2512.06013; https://arxiv.org/pdf/2512.06013; https://doi.org/10.48550/arxiv.2512.06013,reports-results,spatial; object; goal; long-10,500 episodes per benchmark; best checkpoint,"Table 1 reports VAT default setup: Spatial 98.8, Object 99.4, Goal 97.6, LIBERO-10/Long 96.8, Avg 98.15.",98.8,99.4,97.6,96.8,97.6,OpenVLA-OFT,98.8,pi0,97.9,OpenVLA-OFT,94.5,OpenVLA-OFT,"arXiv PDF https://arxiv.org/pdf/2512.06013, Table 1 and protocol text.",high,unclear,,Reported-number weight/checkpoint audit not yet performed for this newly added result row.,low,"arXiv PDF https://arxiv.org/pdf/2512.06013, Table 1 and protocol text.",high,official-ish,Reports standard success rates on all four original LIBERO suites under an OpenVLA-OFT-style evaluation protocol.
